ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ซ่อมเครื่องยนต์ หม้อน้ำ อัดผ้าเบรคและพ่นสีรถยนต์,บางเขน,9501,พหลโยธิน,พหลโยธิน 69/3, 4.50 ,10100006525428, 50 ,กรุงเทพมหานคร,,"517,34", 144.27 ,3-95(1)-65/42,42,อนุสาวรีย์,ร้านแสงไทย,1855,ร้านแสงไทย,3,10220
ซ่อมรถยนต์และตรวจสภาพรถยนต์,บางเขน,9501,รามอินทรา,, 4.00 ,10100300825391, 15 ,กรุงเทพมหานคร,,294, 76.00 ,3-95(1)-8/39,39,ท่าแร้ง,บริษัท ตระการยนต์ จำกด,1856,บริษัท ตระการยนต์ จำกด,3,10220
ตรวจสภาพรถใหม่,บางเขน,9501,พหลโยธิน,, 3.15 ,10100103925521, 24 ,กรุงเทพมหานคร,,311, 55.75 ,3-95(1)-39/52,52,อนุสาวรีย์,บริษัท โตโยต้า เค.มอเตอร์สผู้จำหน่ายโตโยต้าจำกัด,1857,บริษัท โตโยต้า เค.มอเตอร์สผู้จำหน่ายโตโยต้าจำกัด,3,10220
ซ่อมรถยนต์ ได้ปีละ 500 คัน,บางเขน,9501,รามอินทรา,-, 10.00 ,10100008825370, 20 ,กรุงเทพมหานคร,,217, 80.75 ,3-95(1)-88/37,37,อนุสาวรีย์,บริษัท อีซูซุ คิงส์ยนต์ จำกัด,1858,บริษัท อีซูซุ คิงส์ยนต์ จำกัด,3,10220
ซ่อมรถยนต์,บางเขน,9501,,, 13.00 ,10100009025541, 11 ,กรุงเทพมหานคร,5,72, 69.50 ,3-95(1)-90/54,54,อนุสาวรีย์,บริษัท อู่หยอย จำกัด,1859,บริษัท อู่หยอย จำกัด,3,10220
เคาะพ่นสีรถยนต์,บางเขน,9501,รามอินทรา,, 18.00 ,10100092525621, 30 ,กรุงเทพมหานคร,,211, 190.40 ,3-95(1)-51/62,62,อนุสาวรีย์,นายวันชัย จึงสงวนพรสุข,1860,-,3,10220
ศูนย์บริการซ่อมแซมรถยนต์,บางเขน,9501,พหลโยธิน,, 17.50 ,10100016225589, 11 ,กรุงเทพมหานคร,,52/2, 59.30 ,3-95(1)-162/58,58,อนุสาวรีย์,บี-ควิก สาขาโลตัส หลักสี่,1861,บี-ควิก สาขาโลตัส หลักสี่,3,10220
ซ่อมเครื่องยนต์ ตรวจเช็คสภาพรถยนต์,บางเขน,9501,รามอินทรา,, 109.50 ,10100002325419, 36 ,กรุงเทพมหานคร,,365, 79.72 ,3-95(1)-23/41,41,อนุสาวรีย์,บริษัท พิธานพาณิชย์ จำกัด,1862,บริษัท พิธานพาณิชย์ จำกัด,3,10220
ซ่อมรถยนต์,บางเขน,9501,รามอินทรา,, 39.20 ,10100008125466, 10 ,กรุงเทพมหานคร,,181, 50.43 ,3-95(1)-81/46,46,อนุสาวรีย์,บริษัท สแกนดิเนเวียน ออโต้ จำกัด,1863,บริษัท สแกนดิเนเวียน ออโต้ จำกัด,3,10220
ซ่อมและพ่นสีรถยนต์,บางเขน,9501,สุขาภิบาล5,, 176.16 ,10100020525537, 36 ,กรุงเทพมหานคร,,300, 190.20 ,3-95(1)-205/53,53,ท่าแร้ง,บริษัท เจ เอ โอ โฮลดิ้งส์ จำกัด,1864,บริษัท เจ เอ โอ โฮลดิ้งส์ จำกัด,3,10220
ศูนย์บริการซ่อมรถยนต์,บางเขน,9501,รามอินทรา,, 105.26 ,10100169925621, 19 ,กรุงเทพมหานคร,,183/1, 67.50 ,3-95(1)-100/62,62,อนุสาวรีย์,บริษัท แอลบาทรอส ออโต้ จำกัด,1865,บริษัท แอลบาทรอส ออโต้ จำกัด,3,10220
ซ่อมรถยนต์,บางเขน,9501,พหลโยธิน,-, 6.50 ,10102800125454, 14 ,กรุงเทพมหานคร,,246, 59.35 ,3-95(1)-1/45,45,อนุสาวรีย์,ศูนย์บริการ-อะไหล่ บริษัท สยามนิสสัน กรุงเทพ จำกัด,1866,ศูนย์บริการ-อะไหล่ บริษัท สยามนิสสัน กรุงเทพ จำกัด,3,10220
ซ่อมและพ่นสีรถยนต์,บางเขน,9501,รามอินทรา,รามอินทรา 6/1, 5.10 ,10100004625444, 51 ,กรุงเทพมหานคร,2,31/17, 19.76 ,3-95(1)-46/44,44,อนุสาวรีย์,บริษัท สถิตพร ออโต้บอดี้ จำกัด,1867,บริษัท สถิตพร ออโต้บอดี้ จำกัด,3,10220
ซ่อม เคาะ พ่นสีรถยนต์,บางเขน,9501,รามอินทรา,รามอินทรา 5, 2.80 ,10100006225409, 15 ,กรุงเทพมหานคร,4,48/26, 64.50 ,3-95(1)-62/40,40,ท่าแร้ง,เอ เอส เอส มอเตอร์สปอรต์,1868,เอ เอส เอส มอเตอร์สปอรต์,3,10220
ซ่อมและพ่นสีรถยนต์,บางเขน,9501,รามอินทรา,วัชรพล, 5.00 ,10100102525546, 7 ,กรุงเทพมหานคร,6,122/6, 176.76 ,3-95(1)-25/54,54,ท่าแร้ง,วัชรพล คัลเลอร์ เวิล์ด แอนด์ เซอร์วิส,1869,วัชรพล คัลเลอร์ เวิล์ด แอนด์ เซอร์วิส,3,10220
ศูนย์บริการซ่อมและพ่นสีรถยนต์,บางเขน,9501,พหลโยธิน,-, 68.00 ,10100013825407, 89 ,กรุงเทพมหานคร,,357, 470.83 ,3-95(1)-138/40,40,อนุสาวรีย์,บริษัท บางเขนฮอนด้าคาร์ส์ จำกัด,1870,บริษัท บางเขนฮอนด้าคาร์ส์ จำกัด,3,10220
สกัดน้ำมันจากพืชและไขมันสัตว์,บางคอแหลม,701,เจริญราษฎร์ ,เจริญราษฎร์ 7, 8.43 ,10100000125217, 10 ,กรุงเทพมหานคร,-,275, 309.00 ,3-7(1)-1/21,21,บางโคล่,บริษัท ยู.บี.ที.ออยส์ จำกัด,1871,บริษัท ยู.บี.ที.ออยส์ จำกัด,3,10120
ทำขนมปัง ขนมเค้ก และทำไอศกรีม,บางคอแหลม,1001,เจริญกรุง,ประดู่ 1, 10.94 ,10100100125539, 33 ,กรุงเทพมหานคร,-,431, 511.52 ,3-10(1)-1/53,53,บางคอแหลม,บริษัท ซินโนวา จำกัด,1872,บริษัท ซินโนวา จำกัด,3,10120
ทำเส้นบะหมี่ ซาลาเปา และปรุงอาหาร,บางคอแหลม,1003,สาธุประดิษฐ์,สาธุประดิษฐ์ 20(วัดไผ่เงิน), 0.40 ,10100200125462, 55 ,กรุงเทพมหานคร,,"931/2,932/3", 268.10 ,3-10(3)-1/46,46,บางโคล่,บริษัท ซั่งไห่ คูซีน จำกัด,1873,บริษัท ซั่งไห่ คูซีน จำกัด,3,10120
ผลิตไอศครีม,บางคอแหลม,1211,เจริญกรุง,ประดู่ 1, 1.02 ,10100100325279, 20 ,กรุงเทพมหานคร,,860/23, 287.50 ,3-12(11)-3/27,27,บางโคล่,บริษัท พีนัท ฟูดส์ จำกัด,1874,บริษัท พีนัท ฟูดส์ จำกัด,3,10120
"ถักเสื้อไหมพรมด้วยแรงคน จำนวนเครื่องถักไหมพรมด้วยแรงคน 70 เครื่อง ได้ปีละ 300,000 ชิ้น",บางคอแหลม,2400,จันทน์,, 6.00 ,10100002625297, 164 ,กรุงเทพมหานคร,,3769/134-137, 270.10 ,3-24-26/29,29,บางโคล่,บริษัท ซันนี่นิตติ้ง จำกัด,1875,บริษัท ซันนี่นิตติ้ง จำกัด,3,10120
ถักผ้ายืด (จำนวนเครื่องถักผ้า 59 เครื่อง) และตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 150 เครื่อง),บางคอแหลม,2400,ประดู่ 1,ราษฎร์อุทิศ 2, 18.50 ,10100001625330, 190 ,กรุงเทพมหานคร,,655/18, 464.10 ,3-24-16/33,33,บางโคล่,บริษัท ยาชีก้า นิตแวร์ จำกัด,1876,บริษัท ยาชีก้า นิตแวร์ จำกัด,3,10120
"ถักผ้ายืด จำนวนเครื่องถักผ้ายืด 65 เครื่อง ได้ปีละ 600,000 กิโลกรัม",บางคอแหลม,2400,สุดประเสริฐ,กิ่งจันทร์, 16.00 ,10100002225296, 85 ,กรุงเทพมหานคร,,817, 255.00 ,3-24-22/29,29,บางโคล่,บริษัท เพรสซิเด้นท์ นิทติ้ง แอนด์ การ์เม้นท์ จำกัด,1877,บริษัท เพรสซิเด้นท์ นิทติ้ง แอนด์ การ์เม้นท์ จำกัด,3,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 350 เครื่อง),บางคอแหลม,2801,ประดู่ 1,วัดจันทร์ใน, 125.57 ,10100013225335, 391 ,กรุงเทพมหานคร,,611/29, 181.95 ,3-28(1)-132/33,33,บางโคล่,บริษัท ภัทยาอุตสาหกิจ จำกัด,1878,บริษัท ภัทยาอุตสาหกิจ จำกัด,3,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป จำนวนจักรเย็บผ้า 100 เครื่อง,บางคอแหลม,2801,สุดประเสริฐ,กิ่งจันทร์, 186.50 ,10100005225301, 220 ,กรุงเทพมหานคร,,817, 124.10 ,3-28(1)-52/30,30,บางโคล่,บริษัท เพรสซิเด้นท์ นิทติ้ง แอนด์ การ์เม้นท์ จำกัด,1879,บริษัท เพรสซิเด้นท์ นิทติ้ง แอนด์ การ์เม้นท์ จำกัด,3,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป,บางคอแหลม,2801,เจริญราษฎร์,วัดจันทร์ใน, 77.00 ,10100100625447, 176 ,กรุงเทพมหานคร,-,559/19, 245.12 ,3-28(1)-6/44,44,บางโคล่,บริษัท ศรีมิตรอินเตอร์เทรด จำกัด,1880,บริษัท ศรีมิตรอินเตอร์เทรด จำกัด,3,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป ชุดชั้นในสตรี เครื่องแต่งกายและหมวก จำนวนจักรเย็บผ้า 744 เครื่อง,บางคอแหลม,2801,,เจริญราษฎร์ 7, 70.38 ,10100008425338, 134 ,กรุงเทพมหานคร,,132/1, 145.50 ,3-28(1)-84/33,33,บางโคล่,บริษัท ไทยวาโก้ จำกัด (มหาชน),1881,บริษัท ไทยวาโก้ จำกัด (มหาชน),3,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป ,บางคอแหลม,2801,เจริญกรุง,วัดจันทร์ใน, 5.80 ,10100017425311, 150 ,กรุงเทพมหานคร,,864/109-113, 99.87 ,3-28(1)-174/31,31,บางโคล่,บริษัท อะบาคัสการ์เม้นท์ (2000) จำกัด,1882,บริษัท อะบาคัสการ์เม้นท์ (2000) จำกัด,3,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป เช่น ชุดชั้นในสตรี (จำนวนจักรเย็บผ้า 681 เครื่อง),บางคอแหลม,2801,ประดู่ 1,วัดจันทร์ใน, 42.50 ,10100200325211, 368 ,กรุงเทพมหานคร,,"611/26,611/28", 200.32 ,3-28(1)-3/21,21,บางโคล่,บริษัท ภัทยาอุตสาหกิจ จำกัด,1883,บริษัท ภัทยาอุตสาหกิจ จำกัด,3,10120
ตัดเย็บชุดชั้นในสตรี (จำนวนจักรเย็บผ้า 775 เครื่อง),บางคอแหลม,2801,,เจริญราษฎร์ 7, 13.50 ,10100002125215, 584 ,กรุงเทพมหานคร,,132, 461.97 ,3-28(1)-21/21,21,บางโคล่,บริษัท ไทยวาโก้ จำกัด (มหาชน),1884,บริษัท ไทยวาโก้ จำกัด (มหาชน),3,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป จำนวนจักรเย็บผ้า 100 เครื่อง,บางคอแหลม,2801,เจริญกรุง,วัดจันทร์ใน, 3.00 ,10100014425264, 149 ,กรุงเทพมหานคร,,844/60, 44.60 ,3-28(1)-144/26,26,บางโคล่,บริษัท ลิม ไลน์ แอพพาเรล จำกัด,1885,บริษัท ลิม ไลน์ แอพพาเรล จำกัด,3,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป จำนวนจักรเย็บผ้า 404 เครื่อง,บางคอแหลม,2801,ประดู่,ราชอุทิศ 2, 151.70 ,10100006625293, 735 ,กรุงเทพมหานคร,,611/56, 895.56 ,3-28(1)-66/29,29,บางโคล่,บริษัท เซ็นทรัลเทรดดิ้ง จำกัด,1886,บริษัท เซ็นทรัลเทรดดิ้ง จำกัด,3,10120
ผลิตเสื้อผ้าสำเร็จรูป ,บางคอแหลม,2801,,เจริญราษฎร์ 7, -   ,10100003725195," 1,736 ",กรุงเทพมหานคร,,159," 1,532.68 ",3-28(1)-37/19,19,บางโคล่,บริษัท ไทยวาโก้ จำกัด (มหาชน),1887,บริษัท ไทยวาโก้ จำกัด (มหาชน),3,10120
ทำรองเท้าผ้าไบ,บางคอแหลม,3300,เจริญกรุง,วัดจันทร์ใน, 35.00 ,10100000325262," 2,315 ",กรุงเทพมหานคร,,611/40," 13,066.25 ",3-33-3/26,26,บางโคล่,บริษัท บางกอกรับเบอร์ ดีเวลลอปเมนต์ เซ็นเตอร์ จำกัด,1888,บริษัท บางกอกรับเบอร์ ดีเวลลอปเมนต์ เซ็นเตอร์ จำกัด,3,10120
ทำหุ่นรองเท้าจากไม้ และพลาสติก,บางคอแหลม,3602,เจริญกรุง,ประดู่ 1, 0.80 ,10100600125302, 4 ,กรุงเทพมหานคร,,571/25-27, 111.81 ,3-36(2)-1/30,30,บางโคล่,บริษัท พัฒนศิลป์อุตสาหกรรม จำกัด,1889,บริษัท พัฒนศิลป์อุตสาหกรรม จำกัด,3,10120
ทำเครื่องเรือนจากไม้อัด (เคลือบไม้อัด),บางคอแหลม,3700,,สุดประเสริฐ 3, 5.20 ,100001225323, 7 ,กรุงเทพมหานคร,,8, 120.00 ,ศ3-37-12/32,32,บางโคล่,บริษัท ไทยเอสแมน จำกัด,1890,บริษัท ไทยเอสแมน จำกัด,3,10120
เคลือบสิ่งพิมพ์ด้วยพลาสติก,บางคอแหลม,4001,แฉล้มนิมิตร,, 16.50 ,10100500125329, 52 ,กรุงเทพมหานคร,,209, 144.77 ,3-40(1)-1/32,32,บางโคล่,บริษัท อิงค์ ออน เปเปอร์ จำกัด,1891,บริษัท อิงค์ ออน เปเปอร์ จำกัด,3,10120
ทำผลิตภัณฑ์เกี่ยวกับสิ่งพิมพ์ การเคลือบเงาผิวกระดาษหรือสิ่งพิมพ์,บางคอแหลม,4001,เจริญกรุง,นอกเขต, 10.00 ,10100002625479, 48 ,กรุงเทพมหานคร,,3769/245-247, 455.00 ,3-40(1)-26/47,47,บางโคล่,บริษัท บูรพา ยู.วี.เทรด จำกัด,1892,บริษัท บูรพา ยู.วี.เทรด จำกัด,3,10120
พิมพ์กล่องกระดาษและสิ่งพิมพ์ต่าง ๆ,บางคอแหลม,4101,,สาธุประดิษฐ์ 12, 3.00 ,10100200225247, 39 ,กรุงเทพมหานคร,,13, 123.00 ,3-41(1)-2/24,24,บางโคล่,ห้างหุ้นส่วนจำกัด โรงพิมพ์เลิศศิลป์,1893,ห้างหุ้นส่วนจำกัด โรงพิมพ์เลิศศิลป์,3,10120
พิมพ์สิ่งพิมพ์ทุกชนิด,บางคอแหลม,4101,จันทน์,ตรอกนอกเขต, 26.00 ,10100201425473, 50 ,กรุงเทพมหานคร,,3725/25, 390.00 ,3-41(1)-14/47,47,บางโคล่,บริษัท บริสุทธิ์การพิมพ์ จำกัด,1894,บริษัท บริสุทธิ์การพิมพ์ จำกัด,3,10120
"พิมพ์สิ่งพิมพ์ต่าง ๆ ได้เดือนละ 5,000 รีม",บางคอแหลม,4101,ประดู่ 1,ราษฎร์อุทิศ 1, 53.20 ,10100000525218, 100 ,กรุงเทพมหานคร,,3706/1," 1,402.71 ",3-41(1)-5/21,21,บางโคล่,บริษัท เหรียญทองการพิมพ์ จำกัด,1895,บริษัท เหรียญทองการพิมพ์ จำกัด,3,10120
พิมพ์สิ่งพิมพ์ต่าง ๆ,บางคอแหลม,4101,เจริญกรุง,วัดจันทร์ใน, 23.00 ,10100002725535, 8 ,กรุงเทพมหานคร,,607/80-81, 107.40 ,3-41(1)-27/53,53,บางโคล่,บริษัท ว.รัตนเชษฐ์ 1989 จำกัด,1896,บริษัท ว.รัตนเชษฐ์ 1989 จำกัด,3,10120
พิมพ์สิ่งพิมพ์ต่าง ๆ,บางคอแหลม,4101,จันทร์,อยู่ดี, 2.50 ,10100102325483, 11 ,กรุงเทพมหานคร,,3761/437-438, 162.58 ,3-41(1)-23/48,48,บางโคล่,บริษัท จันทรการพิมพ์ จำกัด,1897,บริษัท จันทรการพิมพ์ จำกัด,3,10120
พิมพ์สิ่งพิมพ์ต่าง ๆ,บางคอแหลม,4101,ประดู่,ราชอุทิศ 1, 210.00 ,10100300325459, 250 ,กรุงเทพมหานคร,,3706/6," 1,833.42 ",3-41(1)-3/45,45,บางโคล่,บริษัท ไทยอ๊อฟเซท จำกัด,1898,บริษัท ไทยอ๊อฟเซท จำกัด,3,10120
พิมพ์สิ่งพิมพ์ต่าง ๆ บนพลาสติกและทำถุงพลาสติก,บางคอแหลม,4101,สาธุประดิษฐ์,ทวีสิทธิ์, 2.00 ,10100700225382, 28 ,กรุงเทพมหานคร,,22/4-5, 618.15 ,3-41(1)-2/38,38,บางโคล่,บริษัท ซัยโย เทคนิคัล ทอยส์ จำกัด,1899,บริษัท ซัยโย เทคนิคัล ทอยส์ จำกัด,3,10120
พิมพ์สิ่งพิมพ์ต่าง ๆ,บางคอแหลม,4101,สุดประเสริฐ,นอกเขต, 7.50 ,10100800425262, 82 ,กรุงเทพมหานคร,,3315/3-4-19-32, 83.50 ,ซ3-41(1)-4/26,26,บางโคล่,บริษัท โรจน์ศิลป์ เพรส แพค จำกัด,1900,บริษัท โรจน์ศิลป์ เพรส แพค จำกัด,3,10120
ผลิตหมึกพิมพ์ ได้ปีละ 20 ตัน,บางคอแหลม,4201,วัดไผ่เงิน,อยู่ดี, 9.80 ,10100900125366, 6 ,กรุงเทพมหานคร,,3765/9, 77.00 ,3-42(1)-1/36,36,บางโคล่,บริษัท โรงงานผสมหมึกพิมพ์ไทย จำกัด,1901,บริษัท โรงงานผสมหมึกพิมพ์ไทย จำกัด,3,10120
บรรจุน้ำยาฆ่าแมลงในกระป๋องฉีด,บางคอแหลม,4202,,เจริญราษฎร์7, 10.00 ,10100600125294, 63 ,กรุงเทพมหานคร,,52, 113.80 ,3-42(2)-1/29,29,บางโคล่,บริษัท สานิตแอนด์ซันส์ จำกัด,1902,บริษัท สานิตแอนด์ซันส์ จำกัด,3,10120
ทำสีสำหรับใช้พ่น ผลิตสเปรย์น้ำหอมและปรับอากาศ,บางคอแหลม,4501,,เจริญราษฎร์ 7, 1.80 ,10100200125199, 7 ,กรุงเทพมหานคร,,52, 48.28 ,3-45(1)-1/19,19,บางโคล่,บริษัท สานิตแอนด์ซันส์ จำกัด,1903,บริษัท สานิตแอนด์ซันส์ จำกัด,3,10120
ทำสบู่และน้ำมันใส่ผม,บางคอแหลม,4701,เจริญกรุง,มาตานุสรณ์, 21.00 ,10100500125121, 187 ,กรุงเทพมหานคร,,548," 1,571.70 ",3-47(1)-1/12,12,บางคอแหลม,บริษัท จุฬาอุตสาหกรรม จำกัด,1904,บริษัท จุฬาอุตสาหกรรม จำกัด,3,10120
ทำน้ำมันอาบเงาและทำหมึกพิมพ์สีต่าง ๆ,บางคอแหลม,4806,เอนกประชามิตร,ราษฎร์อุทิศ 1, 4.10 ,10100600225219, 10 ,กรุงเทพมหานคร,,3706/1, 307.53 ,3-48(6)-2/21,21,บางโคล่,บริษัท สยามหมึกพิมพ์และเคมีภัณฑ์ จำกัด,1905,บริษัท สยามหมึกพิมพ์และเคมีภัณฑ์ จำกัด,3,10120
ทำล้อรถเข็นจากยาง และทำแบบพิมพ์โลหะ,บางคอแหลม,5202,จันทน์,อยู่ดี, 2.30 ,10100900225380, 108 ,กรุงเทพมหานคร,,3761/173-180, 312.85 ,3-52(2)-2/38,38,บางโคล่,บริษัท เอเอสแอล คาสเตอร์ จำกัด,1906,บริษัท เอเอสแอล คาสเตอร์ จำกัด,3,10120
ทำผลิตภัณฑ์ยาง เช่น ยางรองขาโต๊ะ และกระเป๋าน้ำร้อน กำลังการผลิต 35 ตัน/ปี,บางคอแหลม,5204,จันทน์,อยู่ดีพูลผล, 11.50 ,10100300425325, 9 ,กรุงเทพมหานคร,,"3769/166,167,168", 174.44 ,3-52(4)-4/32,32,บางโคล่,ส.ศิริการยาง,1907,ส.ศิริการยาง,3,10120
ทำผลิตภัณฑ์พลาสติก และยาง เช่น แกนกระดาษชำระ จุกสำหรับอุดอ่างน้ำ,บางคอแหลม,5301,,เจริญราษฎร์ 7 แยก 7, 1.80 ,10100108825353, 2 ,กรุงเทพมหานคร,,"154,156", 91.69 ,3-53(1)-88/35,35,บางโคล่,นางสาววรกานต์ อภิญญากร,1908,,3,10120
ทำผลิตภัณฑ์พลาสติก เช่น ของเล่นเด็ก,บางคอแหลม,5301,เจริญกรุง,อยู่ดีพูลผล, 0.50 ,10100001825336, 10 ,กรุงเทพมหานคร,,3769/113-115, 137.71 ,3-53(1)-18/33,33,บางโคล่,กิจเจริญพลาสติก,1909,กิจเจริญพลาสติก,3,10120
ทำของเล่นเด็ก,บางคอแหลม,5301,,อยู่ดี, 15.00 ,10100004725574, 10 ,กรุงเทพมหานคร,,3769/37-40, 341.79 ,3-53(1)-47/57,57,บางโคล่,สมบูรณ์พลาสติก,1910,สมบูรณ์พลาสติก,3,10120
ทำของใช้จากพลาสติก เช่นไม้บรรทัด,บางคอแหลม,5301,เจริญกรุง,อยู่ดี, 0.80 ,10100002425375, 9 ,กรุงเทพมหานคร,,599/106-107, 84.62 ,3-53(1)-24/37,37,บางโคล่,เอี่ยมเจริญ,1911,เอี่ยมเจริญ,3,10120
ทำของใช้จากพลาสติกและทำแม่พิมพ์สำหรับเครื่องฉีดพลาสติก,บางคอแหลม,5301,แฉล้มนิมิตร,มณีชวน, 3.45 ,10100004525354, 12 ,กรุงเทพมหานคร,,3531/79-81, 119.00 ,3-53(1)-45/35,35,บางโคล่,นางวลัยพร อุดมเลิศประเสริฐ,1912,นางวลัยพร อุดมเลิศประเสริฐ,3,10120
ทำเครื่องใช้พลาสติก เช่น ไม้แขวนเสื้อ,บางคอแหลม,5301,อยู่ดี,อยู่ดี, 3.30 ,10100007225341, 6 ,กรุงเทพมหานคร,,3761/88, 77.72 ,3-53(1)-72/34,34,บางโคล่,นายสมนึก สภาจันทรสุข,1913,-,3,10120
ทำของใช้จากพลาสติก,บางคอแหลม,5301,จันทน์,อยู่ดี, 7.50 ,10100003625486, 4 ,กรุงเทพมหานคร,,3761/82-83, 191.00 ,3-53(1)-36/48,48,บางโคล่,บริษัท ยู เอ็น มาร์เก็ตติ้ง จำกัด,1914,บริษัท ยู เอ็น มาร์เก็ตติ้ง จำกัด,3,10120
ทำผลิตภัณฑ์พลาสติก,บางคอแหลม,5301,เหนือใต้,ประดู่1, 0.30 ,10100001225420, 11 ,กรุงเทพมหานคร,0,4236/163-165, 236.05 ,3-53(1)-12/42,42,บางโคล่,บริษัท ยูนิลัคส์พลาสติก จำกัด,1915,บริษัท ยูนิลัคส์พลาสติก จำกัด,3,10120
ทำผลิตภัณฑ์พลาสติก เช่น ตุ๊กตา ฝาจุกขวด ตลับแป้ง,บางคอแหลม,5301,จันทน์,นอกเขต, 1.60 ,10100001525415, 18 ,กรุงเทพมหานคร,,3769/183-187, 356.61 ,3-53(1)-15/41,41,บางโคล่,ห้างหุ้นส่วนจำกัด กวงพลาสติก,1916,ห้างหุ้นส่วนจำกัด กวงพลาสติก,3,10120
ทำเครื่องใช้จากพลาสติก,บางคอแหลม,5301,เจริญกรุง,วัดจันทร์ใน (กรองใจ), 7.50 ,10100004325326, 13 ,กรุงเทพมหานคร,,607/61-64, 242.14 ,3-53(1)-43/32,32,บางโคล่,ห้างหุ้นส่วนจำกัด สุชาติพลาสติก,1917,ห้างหุ้นส่วนจำกัด สุชาติพลาสติก,3,10120
ผลิตภัณฑ์พลาสติก เช่น แถบพลาสติก สำหรับรัดของ เครื่องมือ เครื่องใช้ เครื่องเรือน,บางคอแหลม,5301,จันทน์,อยู่ดีพูลผล, 3.30 ,10100105725317, 6 ,กรุงเทพมหานคร,,3769/139-140, 74.82 ,3-53(1)-57/31,31,บางโคล่,แหลมทองอุตสาหกรรม,1918,แหลมทองอุตสาหกรรม,3,10120
ทำผลิตภัณฑ์พลาสติก เช่น พลาสติกอัดขึ้นรูปต่าง ๆ,บางคอแหลม,5301,จันทน์,อยู่ดีตัดใหม่, 3.20 ,10100001625264, 24 ,กรุงเทพมหานคร,,3761/210-211, 88.84 ,3-53(1)-16/26,26,บางโคล่,บริษัท เฟรนด์ชิพเวอร์ค จำกัด,1919,บริษัท เฟรนด์ชิพเวอร์ค จำกัด,3,10120
ทำผลิตภัณฑ์แผ่นพลาสติกอัดขึ้นรูปต่าง ๆ เช่น กล่องพลาสติก,บางคอแหลม,5304,อยู่ดี,อยู่ดีพูลผล, 3.50 ,10100400725384, 24 ,กรุงเทพมหานคร,,"4023/30,32,34", 92.40 ,3-53(4)-7/38,38,บางโคล่,บริษัท เฟรนด์ชิพเวอร์ค จำกัด,1920,บริษัท เฟรนด์ชิพเวอร์ค จำกัด,3,10120
ทำถุงและพิมพ์ถุงพลาสติก,บางคอแหลม,5304,สาธุประดิษฐ์,วัดไผ่เงิน, 3.50 ,10100101125363, 14 ,กรุงเทพมหานคร,,552/118-130," 1,097.75 ",3-53(4)-11/36,36,บางโคล่,ห้างหุ้นส่วนจำกัด ริโกแพ็ค,1921,ห้างหุ้นส่วนจำกัด ริโกแพ็ค,3,10120
ทำผลิตภัณฑ์จากพลาสติก เช่น ตลับแป้ง ตลับยา ขวดพลาสติก,บางคอแหลม,5304,รัชดาภิเษก,ประดู่, 2.70 ,10100102825227, 45 ,กรุงเทพมหานคร,,55/21-27, 579.42 ,3-53(4)-28/22,22,บางคอแหลม,บริษัท เค.วี.เจ.ยูเนี่ยน จำกัด,1922,บริษัท เค.วี.เจ.ยูเนี่ยน จำกัด,3,10120
ทำถุงพลาสติกและเชือกพลาสติก,บางคอแหลม,5304,จันทน์,จันทน์ 43 แยก 43, 2.05 ,10100100825419, 10 ,กรุงเทพมหานคร,,893, 102.15 ,3-53(4)-8/41,41,บางโคล่,ไทยมิตรเคมี,1923,ไทยมิตรเคมี,3,10120
ทำของใช้จากพลาสติก เช่น ขวดน้ำ,บางคอแหลม,5304,จันทน์,อยู่ดี, 2.20 ,10100101825384, 8 ,กรุงเทพมหานคร,,3761/116-117, 197.44 ,3-53(4)-18/38,38,บางโคล่,นายสมนึก สุภาจันทรสุข,1924,-,3,10120
ทำถุงพลาสติก,บางคอแหลม,5304,,สุดประเสริฐ 5, 4.60 ,10100100725403, 28 ,กรุงเทพมหานคร,,6, 256.89 ,3-53(4)-7/40,40,วัดพระยาไกร,บริษัท ศรีรุ่งเรืองพลาสติก จำกัด,1925,บริษัท ศรีรุ่งเรืองพลาสติก จำกัด,3,10120
ทำเม็ดพลาสติกเกรดบี และเครื่องใช้จากพลาสติก,บางคอแหลม,5305,สาธุประดิษฐ์,อยู่ดีพูนผล, 0.82 ,10100100825286, 2 ,กรุงเทพมหานคร,,3769/34, 64.25 ,3-53(5)-8/28,28,บางโคล่,ไพสิฐพลาสติก,1926,ไพสิฐพลาสติก,3,10120
