จำนวน,ประเภท,ที่มา,สถานภาพแรงงาน,_id,ปี,เพศ,ช่วงเวลา,หน่วย
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,105,2563,ชาย,ไตรมาสที่ 3,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,106,2563,ชาย,ไตรมาสที่ 3,คน
" 29,938 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,107,2563,ชาย,ไตรมาสที่ 3,คน
" 44,693 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,108,2563,หญิง,ไตรมาสที่ 3,คน
" 12,646 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,109,2563,หญิง,ไตรมาสที่ 3,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,110,2563,หญิง,ไตรมาสที่ 3,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,111,2563,หญิง,ไตรมาสที่ 3,คน
" 31,327 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,112,2563,หญิง,ไตรมาสที่ 3,คน
" 130,546 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,113,2563,ชาย,ไตรมาสที่ 4,คน
" 1,161 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,114,2563,ชาย,ไตรมาสที่ 4,คน
" 2,550 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,115,2563,ชาย,ไตรมาสที่ 4,คน
" 97,050 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,116,2563,หญิง,ไตรมาสที่ 4,คน
 859 ,ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,117,2563,หญิง,ไตรมาสที่ 4,คน
" 2,351 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,118,2563,หญิง,ไตรมาสที่ 4,คน
" 1,094 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,119,2563,ชาย,ไตรมาสที่ 4,คน
" 11,889 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,120,2563,ชาย,ไตรมาสที่ 4,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,121,2563,ชาย,ไตรมาสที่ 4,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,122,2563,ชาย,ไตรมาสที่ 4,คน
" 28,432 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,123,2563,ชาย,ไตรมาสที่ 4,คน
" 48,367 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,124,2563,หญิง,ไตรมาสที่ 4,คน
" 13,720 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,125,2563,หญิง,ไตรมาสที่ 4,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เด็ก/ชรา/ป่วย/พิการจนไม่สามารถทำงานได้,126,2563,หญิง,ไตรมาสที่ 4,คน
 -   ,ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ดูแลเด็ก/ผู้สูงอายุ/ผู้ป่วย/ผู้พิการ,127,2563,หญิง,ไตรมาสที่ 4,คน
" 30,750 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,อื่นๆ,128,2563,หญิง,ไตรมาสที่ 4,คน
" 118,461 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,129,2564,ชาย,ไตรมาสที่ 1, คน 
" 3,144 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,130,2564,ชาย,ไตรมาสที่ 1, คน 
" 6,558 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,131,2564,ชาย,ไตรมาสที่ 1, คน 
" 89,517 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้มีงานทำ,132,2564,หญิง,ไตรมาสที่ 1, คน 
" 1,888 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ว่างงาน,133,2564,หญิง,ไตรมาสที่ 1, คน 
" 2,347 ",ผู้อยู่ในกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ผู้ที่รอฤดูกาล,134,2564,หญิง,ไตรมาสที่ 1, คน 
" 2,487 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,ทำงานบ้าน,135,2564,ชาย,ไตรมาสที่ 1, คน 
" 14,690 ",ผู้อยู่นอกกำลังแรงงาน,สำนักงานสถิติจังหวัดหนองบัวลำภู,เรียนหนังสือ,136,2564,ชาย,ไตรมาสที่ 1, คน 
