PROVINCE,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,LABOR_FORCE_STATUS,REGION,YEAR
สิงห์บุรี,0.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,118,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
สิงห์บุรี,50.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,119,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สิงห์บุรี,0.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,120,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สิงห์บุรี,0.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,121,หญิง,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
สุพรรณบุรี,259.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,122,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สุพรรณบุรี,2.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,123,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สุพรรณบุรี,1.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,124,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
สุพรรณบุรี,213.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,125,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
สุพรรณบุรี,2.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,126,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
สุพรรณบุรี,1.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,127,หญิง,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
อ่างทอง,68.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,128,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
อ่างทอง,1.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,129,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
อ่างทอง,0.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,130,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
อ่างทอง,68.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,131,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
อ่างทอง,0.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,132,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
อ่างทอง,0.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,133,หญิง,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
กำแพงเพชร,221.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,134,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
กำแพงเพชร,0.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,135,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
กำแพงเพชร,6.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,136,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
มุกดาหาร,125.18,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,137,ชาย,พันคน,ผู้มีงานทำ,ภาคตะวันออกเฉียงเหนือ,2568
หนองคาย,116.52,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,138,ชาย,พันคน,ผู้มีงานทำ,ภาคตะวันออกเฉียงเหนือ,2568
เลย,0.31,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,139,หญิง,พันคน,ผู้ว่างงาน,ภาคตะวันออกเฉียงเหนือ,2568
พะเยา,0.28,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,140,ชาย,พันคน,กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2568
ลำพูน,114.11,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,141,ชาย,พันคน,ผู้มีงานทำ,ภาคเหนือ,2568
เชียงราย,1.03,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,142,หญิง,พันคน,ผู้ว่างงาน,ภาคเหนือ,2568
ตาก,135.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,143,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
ตาก,1.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,144,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
ตาก,3.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,145,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
นครสวรรค์,268.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,146,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
นครสวรรค์,3.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,147,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
นครสวรรค์,0.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,148,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
น่าน,132.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,149,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
น่าน,0.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,150,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
น่าน,2.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,151,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
พะเยา,114.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,152,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
พะเยา,0.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,153,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
พะเยา,5.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,154,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
พิจิตร,151.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,155,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
พิจิตร,1.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,156,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
พิจิตร,0.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,157,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
พิษณุโลก,246.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,158,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
พิษณุโลก,2.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,159,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
พิษณุโลก,1.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,160,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
ลำปาง,210.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,161,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
ลำปาง,2.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,162,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
ลำปาง,0.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,163,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคเหนือ,2563
ลำพูน,132.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,164,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
ลำพูน,0.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,165,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคเหนือ,2563
สุโขทัย,167.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,166,ชาย,พันคน,1.1 มีงานทำ,ภาคเหนือ,2563
