_id,ปี,โรงงาน,จำนวน,ด้าน,หน่วย,รายการสถิติทางการ
65,2566,บริษัท มงคลแอนด์ซันส์ฟาร์ม จำกัด,"133,409,367",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
66,2566,นางดวงกมล หยาง,"8,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
67,2566,บริษัท ดอกบัวฟู๊ดส์ จำกัด,"25,300,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
68,2567,เฮงเจริญ วอเตอร์,"8,500,000.00",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
69,2567,ห้างหุ้นส่วนจำกัด ราชา มีทฟู้ดส์,"10,500,000.00",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
70,2567,สหกรณ์โคนมการเกษตรไชยปราการ จำกัด,"409,464,322.91",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
71,2568,บริษัท ไฮไลฟ์ โกลบอล ฟู้ด จำกัด," 316,931,000.00 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
72,2568,นางสาวประไพ กันธิยะ," 23,000,000.00 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
73,2568,ทรัพย์ดวงทิพย์ค้าข้าว," 26,000,000.00 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
74,2568,บริษัท เคเค เอนเนอร์จี 1962 จำกัด," 53,000,000.00 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
75,2568,บริษัท ดวงดีไรซ์ จำกัด," 19,000,000.00 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
76,2568,บริษัท เกิดอู่ทอง จำกัด," 85,000,000.00 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
77,2568,หน่อคำพืชผล," 6,200,000.00 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
78,2568,ลานนาการเกษตร," 7,400,000.00 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
79,2568,โรงสีข้าวสามหนึ่ง," 19,000,000.00 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
80,2568,มูลนิธิพัฒนาชาวเขาแบบผสมผสาน," 92,433,196.56 ",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
81,2568,เฮงเจริญ วอเตอร์," 8,500,000.00 ",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
82,2568,ห้างหุ้นส่วนจำกัด ราชา มีทฟู้ดส์," 10,500,000.00 ",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
83,2568,สหกรณ์โคนมการเกษตรไชยปราการ จำกัด," 409,464,322.91 ",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
