เดือน,สาขา,ที่มา,จำนวนผู้ประกันตน,_id,ปี,หน่วย
ธันวาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2965,96,2565,คน
มกราคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2743,97,2566,คน
กุมภาพันธ์,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2944,98,2566,คน
มีนาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2955,99,2566,คน
เมษายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2935,100,2566,คน
พฤษภาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2913,101,2566,คน
มิถุนายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2902,102,2566,คน
กรกฎาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2868,103,2566,คน
สิงหาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2849,104,2566,คน
กันยายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2823,105,2566,คน
ตุลาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2794,106,2566,คน
พฤศจิกายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2762,107,2566,คน
ธันวาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2746,108,2566,คน
มกราคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2743,109,2567,คน
กุมภาพันธ์,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2713,110,2567,คน
มีนาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2686,111,2567,คน
เมษายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2653,112,2567,คน
พฤษภาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2635,113,2567,คน
มิถุนายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2607,114,2567,คน
กรกฎาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2586,115,2567,คน
สิงหาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2562,116,2567,คน
กันยายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2536,117,2567,คน
ตุลาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2548,118,2567,คน
พฤศจิกายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2558,119,2567,คน
ธันวาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2581,120,2567,คน
