ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ผลิตขนมปัง ขนมเค้ก และคุ้กกี้ชนิดต่าง ๆ ผลิตขนมปังกึ่งสำเร็จรูปแช่แข็ง,คลองหลวง,1001,การทำขนมปังหรือขนมเค้ก,พหลโยธิน,-,10100000000000,40,217,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,5,"9/66, 9/150",1277.49,2546,คลองหนึ่ง,3-10(1)-1/46ปท,บริษัท ไทย ยามาซากิ จำกัด,2789,บริษัท ไทย ยามาซากิ จำกัด,3,12120
ผลิตและประกอบเครื่องวัดปริมาณการใช้กระแสไฟฟ้า และผลิตชิ้นส่วนผลิตภัณฑ์สำหรับใช้เป็นฉนวน,คลองหลวง,6900,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องคำนวณ เครื่องทำบัญชี หรือเครื่องอิเล็กทรอนิกส์,พหลโยธิน กม.46,นิคมอุตสาหกรรมนวนคร,10100000000000,277.945686,188,9,อุตสาหกรรมดิจิตอล,ปทุมธานี,20,101/6,1083.81,2523,คลองหนึ่ง,3-69-2/23ปท,บริษัท มหาจักรไฟฟ้าสากล จำกัด,2790,บริษัท มหาจักรไฟฟ้าสากล จำกัด,3,12120
การผลิตกาว,ศรีมหาโพธิ,4803,การทำผลิตภัณฑ์สำหรับกันน้ำ ตัวทำให้เปียกน้ำ ตัวทำให้ตีเข้าด้วยกันได้ ตัวทำให้ซึม,,,10300000000000,375,37,10,อุตสาหกรรมท่องเที่ยวสุขภาพ,ปราจีนบุรี,6,234,3003.17,2565,ศรีมหาโพธิ,3-48(3)-3/65ปจ,บริษัท เวล บอนดิ้ง จำกัด,2791,บริษัท เวล บอนดิ้ง จำกัด,3,25140
ประกอบแผงวงจรไฟฟ้า (ชนิดอ่อน) และอุปกรณ์อิเลคทรอนิคส์,เมืองปราจีนบุรี,7200,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำ,สุวรรณศร,,10300000000000,213,1040,4,อุตสาหกรรมอิเล็กทรอนิกส์,ปราจีนบุรี,11,118/2,5770.49,2539,บ้านพระ,3-72-2/39ปจ,บริษัท ฟูจิคูระ อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,2792,บริษัท ฟูจิคูระ อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,3,25230
ผลิตน้ำแข็งก้อน,ศรีมหาโพธิ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10300000000000,49,30,5,อุตสาหกรรมแปรรูปอาหาร,ปราจีนบุรี,4,โฉนดที่ดินเลขที่ 3450 และ 57965,1698.5,2564,ศรีมหาโพธิ,3-14-38/64ปจ,บริษัท วินเนอร์ไอซ์ จำกัด,2793,บริษัท วินเนอร์ไอซ์ จำกัด,3,25140
ผลิตน้ำแข็งหลอดใหญ่ และน้ำแข็งหลอดเล็ก                     ,เมืองหนองบัวลำภู,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10400000000000,20,15,5,อุตสาหกรรมแปรรูปอาหาร,หนองบัวลำภู,7,โฉนดที่ดินเลขที่ 33199,1060,2565,โพธิ์ชัย,3-14-26/65นภ,บริษัท ธัชกร หนองบัวลำภู จำกัด,2794,บริษัท ธัชกร หนองบัวลำภู จำกัด ,3,39000
สีข้าว ชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),เมืองนครนายก,901,การสี ฝัด หรือขัดข้าว, , ,10300000000000,2.5,4,5,อุตสาหกรรมแปรรูปอาหาร,นครนายก,,ข2 094/2,185,2512,นครนายก,3-9(1)-4/12นย,นายประพัฒน์พงษ์ พุทธรังษี,2795,-,3,26000
ผลิตแป้งมันสำปะหลัง ได้วันละ 250 ตัน และผลิตพลังงานไฟฟ้าขนาด 1.914 เมกกะวัตต์ จากก๊าซชีวภาพ,วัฒนานคร,902,การทำแป้ง,วัฒนานคร-แชร์ออ,-,10300000000000,23.5,0,5,อุตสาหกรรมแปรรูปอาหาร,สระแก้ว,2,98,18675.79,2545,หนองน้ำใส,3-9(2)-1/45สก,บริษัท เอี่ยมบูรพา จำกัด,2796,บริษัท เอี่ยมบูรพา จำกัด,3,27160
ผลิตมันเม็ดอัดแข็ง มันเส้น,จัตุรัส,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,ชัยภูมิ-สีคิ้ว,-,10400000000000,49.5,14,5,อุตสาหกรรมแปรรูปอาหาร,ชัยภูมิ,10,148,2491.22,2553,บ้านขาม,3-9(6)-39/53ชย,ห้างหุ้นส่วนจำกัด พูนผล พิลเล็ตซ์,2797,ห้างหุ้นส่วนจำกัด พูนผล พิลเล็ตซ์,3,36130
สีข้าว กำลังสีข้าวสูงสุด 320 เกวียน/วันเท่าเดิม เพิ่มคนงานอีก 4 คน รวมเป็น 39 คน,เมืองอำนาจเจริญ,901,การสี ฝัด หรือขัดข้าว,อรุณประเสริฐ,,10400000000000,38,13,5,อุตสาหกรรมแปรรูปอาหาร,อำนาจเจริญ,15,126,487,2535,บุ่ง,3-9(1)-2/35อจ,ห้างหุ้นส่วนจำกัด โรงสีเกษตรธัญญเจริญ,2798,ห้างหุ้นส่วนจำกัด โรงสีเกษตรธัญญเจริญ,3,37000
ผลิตและจำหน่ายผลิตภัณฑ์น้ำดื่ม น้ำผลไม้ และเครื่องดื่มบำรุงสุขภาพ ชา กาแฟชนิดผงสำเร็จรูป,ลำลูกกา,2002,การทำเครื่องดื่มที่ไม่มีแอลกอฮอล์,คลองสิบสามตะวันตก,-,10100000000000,511.4101795,321,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,7,8,13816.76,2552,พืชอุดม,3-20(2)-3/52ปท,บริษัท เซ็ปเป้ จำกัด (มหาชน),2799,บริษัท เซ็ปเป้ จำกัด (มหาชน),3,12150
