จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
761937,344,2565,ประชากรอายุ 15 ปีขึ้นไป,หญิง,1,ชลบุรี
495820,345,2565,ผู้มีงานทำ,หญิง,1,ชลบุรี
4917,346,2565,ผู้ว่างงาน,หญิง,1,ชลบุรี
0,347,2565,กำลังแรงงานที่รอฤดูกาล,หญิง,1,ชลบุรี
146774,348,2565,ทำงานบ้าน,หญิง,1,ชลบุรี
70256,349,2565,เรียนหนังสือ,หญิง,1,ชลบุรี
118174,350,2565,อื่น ๆ,หญิง,1,ชลบุรี
793318,351,2565,ประชากรอายุ 15 ปีขึ้นไป,ชาย,2,ชลบุรี
577509,352,2565,ผู้มีงานทำ,ชาย,2,ชลบุรี
4351,353,2565,ผู้ว่างงาน,ชาย,2,ชลบุรี
1377,354,2565,กำลังแรงงานที่รอฤดูกาล,ชาย,2,ชลบุรี
3920,355,2565,ทำงานบ้าน,ชาย,2,ชลบุรี
45088,356,2565,เรียนหนังสือ,ชาย,2,ชลบุรี
161074,357,2565,อื่น ๆ,ชาย,2,ชลบุรี
839953,358,2565,ประชากรอายุ 15 ปีขึ้นไป,หญิง,2,ชลบุรี
511088,359,2565,ผู้มีงานทำ,หญิง,2,ชลบุรี
2341,360,2565,ผู้ว่างงาน,หญิง,2,ชลบุรี
0,361,2565,กำลังแรงงานที่รอฤดูกาล,หญิง,2,ชลบุรี
134488,362,2565,ทำงานบ้าน,หญิง,2,ชลบุรี
69807,363,2565,เรียนหนังสือ,หญิง,2,ชลบุรี
122228,364,2565,อื่น ๆ,หญิง,2,ชลบุรี
797502,365,2565,ประชากรอายุ 15 ปีขึ้นไป,ชาย,3,ชลบุรี
602336,366,2565,ผู้มีงานทำ,ชาย,3,ชลบุรี
3071,367,2565,ผู้ว่างงาน,ชาย,3,ชลบุรี
0,368,2565,กำลังแรงงานที่รอฤดูกาล,ชาย,3,ชลบุรี
6293,369,2565,ทำงานบ้าน,ชาย,3,ชลบุรี
46353,370,2565,เรียนหนังสือ,ชาย,3,ชลบุรี
139450,371,2565,อื่น ๆ,ชาย,3,ชลบุรี
844367,372,2565,ประชากรอายุ 15 ปีขึ้นไป,หญิง,3,ชลบุรี
