วันที่หมดอายุ,_id,ลำดับ,เลขทะเบียน,วันที่อนุมัติ,ระดับ GI,ชื่อโรงงาน
2567-10-27T00:00:00,26,26,10200144725631,2564-10-28T00:00:00,2,บริษัท วรพล รีไซเคิล จำกัด
2567-11-16T00:00:00,27,27,10200008625620,2564-11-17T00:00:00,2,บริษัท เทรเชอร์ โปรดักส์ จำกัด
2570-03-27T00:00:00,28,28,10200027325574,2567-03-28T00:00:00,2,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน)
2567-12-12T00:00:00,29,29,10200100225196,2564-12-13T00:00:00,2,บริษัท ชลาหาร จำกัด
2569-10-29T00:00:00,30,30,10200000825350,2566-10-30T00:00:00,2,โรงงานคอนกรีตผสมเสร็จชลบุรี 2
2567-10-27T00:00:00,31,31,10200200125353,2564-10-28T00:00:00,2,บริษัท ซีพีแอล กรุ๊ป จำกัด (มหาชน)
2570-03-20T00:00:00,32,32,10200100625502,2567-03-21T00:00:00,2,บริษัท เรียล โซลูพลัส จำกัด
2569-11-22T00:00:00,33,33,10200002825606,2566-11-23T00:00:00,2,บริษัท แหลมฉบัง อิมเม็กซ์ จำกัด
2567-12-20T00:00:00,34,34,10200200125403,2564-12-21T00:00:00,2,บริษัท จิ้วฮวด จำกัด
2567-10-27T00:00:00,35,35,10200249525621,2564-10-28T00:00:00,2,บริษัท ฮีดากา-ฉิโฮ เมทัล รีไซคลิ่ง (ประเทศไทย) จำกัด
2569-06-22T00:00:00,36,36,10200500125459,2566-06-23T00:00:00,2,โรงงานผลิตยางแท่ง สหกรณ์กองทุนสวนยางบ้านเขาซก จำกัด
2567-09-16T00:00:00,37,37,10200200125437,2564-09-17T00:00:00,2,บริษัท ไทยโพลีเอสเตอร์ จำกัด
2568-03-10T00:00:00,38,38,10200100825532,2565-04-10T00:00:00,2,บริษัท พาโช่ (ประเทศไทย) จำกัด
2567-12-12T00:00:00,39,39,10200500125293,2564-12-13T00:00:00,2,บริษัท ที.เอ็ม.ซี.อุตสาหกรรม จำกัด (มหาชน)
2570-09-06T00:00:00,40,40,10200200125452,2567-10-06T00:00:00,2,บริษัท พี.เอส.ซี.สตาร์ช โปรดักส์ จำกัด(มหาชน)
2570-02-22T00:00:00,41,41,10201500125341,2567-02-23T00:00:00,2,บริษัท บี.ที.โอโต้พาร์ต จำกัด
2569-08-27T00:00:00,42,42,10200300125337,2566-08-28T00:00:00,2,บริษัท วายพีเอ (ประเทศไทย) จำกัด
2567-12-12T00:00:00,43,43,10200300125469,2564-12-13T00:00:00,2,บริษัท แน็ชเชอรัลรับเบอร์เธร็ด จำกัด
2570-02-22T00:00:00,44,44,10200500125392,2567-02-23T00:00:00,2,บริษัท บี.ที.โอโต้พาร์ต จำกัด
2569-07-12T00:00:00,45,45,10201000125346,2566-08-12T00:00:00,2,บริษัท ไทย ไวร์ริ่ง ซิสเต็ม จำกัด
2569-10-16T00:00:00,46,46,20200000325508,2566-10-17T00:00:00,2,บริษัท ฮัวยี จำกัด
2569-02-08T00:00:00,47,47,10201200125401,2566-03-08T00:00:00,2,บริษัท สยามแคนส์ อินดัสทริ จำกัด
2567-11-16T00:00:00,48,48,20200001125527,2564-11-17T00:00:00,2,แพล้นท์พัทยา 2
