VALUE,QUARTER,AREA,SOURCE,_id,REG,UNIT,YEAR,EDUCATIONAL
1.8,ไตรมาส 1,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,142,ภาคเหนือ,พันคน,2564, ไม่ทราบ
1398.7,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,143,ภาคกลาง,พันคน,2564, อุดมศึกษา สายวิชาการ
446.3,ไตรมาส 2,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,144,ภาคใต้,พันคน,2564, มัธยมศึกษาตอนต้น
1119.6,ไตรมาส 3,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,145,ภาคเหนือ,พันคน,2564, ประถมศึกษา
6.1,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,146,กรุงเทพมหานคร,พันคน,2564, อื่น ๆ
479.8,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,147,ภาคตะวันออกเฉียงเหนือ,พันคน,2564, อุดมศึกษา สายวิชาการ
306.5,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,148,ภาคตะวันออกเฉียงเหนือ,พันคน,2564, อุดมศึกษา สายวิชาชีพ
178.3,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,149,ภาคตะวันออกเฉียงเหนือ,พันคน,2564, อุดมศึกษา สายวิชาการศึกษา
2.1,ไตรมาส 4,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,150,ภาคตะวันออกเฉียงเหนือ,พันคน,2564, ไม่ทราบ
93.2,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,151,ภาคใต้,พันคน,2564, ไม่มีการศึกษา
377.6,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,152,ภาคใต้,พันคน,2564, ต่ำกว่าประถมศึกษา
437.5,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,153,ภาคใต้,พันคน,2564, ประถมศึกษา
439.1,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,154,ภาคใต้,พันคน,2564, มัธยมศึกษาตอนต้น
416.9,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,155,ภาคใต้,พันคน,2564, มัธยมศึกษาตอนปลาย สายสามัญ
111.9,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,156,ภาคใต้,พันคน,2564, มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
1.7,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,157,ภาคใต้,พันคน,2564, มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
438.8,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,158,ภาคใต้,พันคน,2564, อุดมศึกษา สายวิชาการ
142.5,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,159,ภาคใต้,พันคน,2564, อุดมศึกษา สายวิชาชีพ
78.9,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,160,ภาคใต้,พันคน,2564, อุดมศึกษา สายวิชาการศึกษา
0.8,ไตรมาส 4,เขตเทศบาล,สำนักงานสถิติแห่งชาติ,161,ภาคใต้,พันคน,2564, อื่น ๆ
