จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,จังหวัด,ประเภทแรงงาน,หน่วย
974,193,2561,นายจ้าง,หญิง,นครสวรรค์,แรงงานนอกระบบ,คน
73460,194,2561,ประกอบธุรกิจส่วนตัว,หญิง,นครสวรรค์,แรงงานนอกระบบ,คน
72747,195,2561,ช่วยธุรกิจครัวเรือน,หญิง,นครสวรรค์,แรงงานนอกระบบ,คน
782,196,2561,ลูกจ้างรัฐบาล,หญิง,นครสวรรค์,แรงงานนอกระบบ,คน
32456,197,2561,ลูกจ้างเอกชน,หญิง,นครสวรรค์,แรงงานนอกระบบ,คน
293,198,2561,การรวมกลุ่ม,หญิง,นครสวรรค์,แรงงานนอกระบบ,คน
93,199,2561,นายจ้าง,ชาย,อุทัยธานี,แรงงานในระบบ,คน
951,200,2561,ประกอบธุรกิจส่วนตัว,ชาย,อุทัยธานี,แรงงานในระบบ,คน
34,201,2561,ช่วยธุรกิจครัวเรือน,ชาย,อุทัยธานี,แรงงานในระบบ,คน
8335,202,2561,ลูกจ้างรัฐบาล,ชาย,อุทัยธานี,แรงงานในระบบ,คน
10881,203,2561,ลูกจ้างเอกชน,ชาย,อุทัยธานี,แรงงานในระบบ,คน
495,204,2561,ประกอบธุรกิจส่วนตัว,หญิง,อุทัยธานี,แรงงานในระบบ,คน
465,205,2561,ช่วยธุรกิจครัวเรือน,หญิง,อุทัยธานี,แรงงานในระบบ,คน
9090,206,2561,ลูกจ้างรัฐบาล,หญิง,อุทัยธานี,แรงงานในระบบ,คน
6566,207,2561,ลูกจ้างเอกชน,หญิง,อุทัยธานี,แรงงานในระบบ,คน
804,208,2561,นายจ้าง,ชาย,อุทัยธานี,แรงงานนอกระบบ,คน
43063,209,2561,ประกอบธุรกิจส่วนตัว,ชาย,อุทัยธานี,แรงงานนอกระบบ,คน
12533,210,2561,ช่วยธุรกิจครัวเรือน,ชาย,อุทัยธานี,แรงงานนอกระบบ,คน
420,211,2561,ลูกจ้างรัฐบาล,ชาย,อุทัยธานี,แรงงานนอกระบบ,คน
7654,212,2561,ลูกจ้างเอกชน,ชาย,อุทัยธานี,แรงงานนอกระบบ,คน
279,213,2561,นายจ้าง,หญิง,อุทัยธานี,แรงงานนอกระบบ,คน
23734,214,2561,ประกอบธุรกิจส่วนตัว,หญิง,อุทัยธานี,แรงงานนอกระบบ,คน
28389,215,2561,ช่วยธุรกิจครัวเรือน,หญิง,อุทัยธานี,แรงงานนอกระบบ,คน
403,216,2561,ลูกจ้างรัฐบาล,หญิง,อุทัยธานี,แรงงานนอกระบบ,คน
4964,217,2561,ลูกจ้างเอกชน,หญิง,อุทัยธานี,แรงงานนอกระบบ,คน
112,218,2561,นายจ้าง,ชาย,กำแพงเพชร,แรงงานในระบบ,คน
1159,219,2561,ประกอบธุรกิจส่วนตัว,ชาย,กำแพงเพชร,แรงงานในระบบ,คน
1071,220,2561,ช่วยธุรกิจครัวเรือน,ชาย,กำแพงเพชร,แรงงานในระบบ,คน
14082,221,2561,ลูกจ้างรัฐบาล,ชาย,กำแพงเพชร,แรงงานในระบบ,คน
31133,222,2561,ลูกจ้างเอกชน,ชาย,กำแพงเพชร,แรงงานในระบบ,คน
114,223,2561,การรวมกลุ่ม,ชาย,กำแพงเพชร,แรงงานในระบบ,คน
2116,224,2561,ประกอบธุรกิจส่วนตัว,หญิง,กำแพงเพชร,แรงงานในระบบ,คน
1166,225,2561,ช่วยธุรกิจครัวเรือน,หญิง,กำแพงเพชร,แรงงานในระบบ,คน
17434,226,2561,ลูกจ้างรัฐบาล,หญิง,กำแพงเพชร,แรงงานในระบบ,คน
16679,227,2561,ลูกจ้างเอกชน,หญิง,กำแพงเพชร,แรงงานในระบบ,คน
5077,228,2561,นายจ้าง,ชาย,กำแพงเพชร,แรงงานนอกระบบ,คน
96079,229,2561,ประกอบธุรกิจส่วนตัว,ชาย,กำแพงเพชร,แรงงานนอกระบบ,คน
41359,230,2561,ช่วยธุรกิจครัวเรือน,ชาย,กำแพงเพชร,แรงงานนอกระบบ,คน
1497,231,2561,ลูกจ้างรัฐบาล,ชาย,กำแพงเพชร,แรงงานนอกระบบ,คน
32691,232,2561,ลูกจ้างเอกชน,ชาย,กำแพงเพชร,แรงงานนอกระบบ,คน
1750,233,2561,นายจ้าง,หญิง,กำแพงเพชร,แรงงานนอกระบบ,คน
56218,234,2561,ประกอบธุรกิจส่วนตัว,หญิง,กำแพงเพชร,แรงงานนอกระบบ,คน
72579,235,2561,ช่วยธุรกิจครัวเรือน,หญิง,กำแพงเพชร,แรงงานนอกระบบ,คน
3623,236,2561,ลูกจ้างรัฐบาล,หญิง,กำแพงเพชร,แรงงานนอกระบบ,คน
