_id,เลขทะเบียนเดิม,ชื่อผู้ประกอบการ,ปริมาณน้ำเสีย,หน่วย
209,จ3-50(4)-77/59พล,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,20.5,ลบ.ม.
210,จ3-52(1)-1/56พล,บริษัท ทีทีเอ็น รับเบอร์ จำกัด,26,ลบ.ม.
211,3-52(3)-23/55พล,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),218,ลบ.ม.
212,3-52(3)-25/56พล,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน),118,ลบ.ม.
213,จ3-53(4)-19/61พล,บริษัท จอย สปอร์ต จำกัด,4.6,ลบ.ม.
214,จ3-53(4)-68/60พล,ห้างหุ้นส่วนจำกัด จีพี พรีฟอร์ม แอนด์ พลาสติก,3.6,ลบ.ม.
215,จ3-53(5)-1/39พล,บริษัท วงษ์พาณิชย์ อินเตอร์เนชั่นแนล จำกัด,7.5,ลบ.ม.
216,จ3-53(9)-1/40พล,นายชัยฤกษ์ วงษ์เจริญ,3.7,ลบ.ม.
217,จ3-53(9)-22/62พล,บริษัท ทรัพย์ ส.ประทีป รีไซเคิล จำกัด,3,ลบ.ม.
218,จ3-53(9)-26/61พล,บริษัท อำนาจพลาสติก จำกัด,2.7,ลบ.ม.
219,จ3-56-3/65พล,นายดิเรก สีดาว,1.5,ลบ.ม.
220,จ3-56-4/60พล,นายสมเกียรติ นาชอน,1.5,ลบ.ม.
221,จ3-56-5/60พล,นายชลอ พยัฆษี,1.5,ลบ.ม.
222,จ3-56-6/38พล,นายชิง คำเจริญคุณ,1.5,ลบ.ม.
223,3-57(2)-1/39พล,บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),0.6,ลบ.ม.
224,จ3-57(2)-2/56พล,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ.,0.2,ลบ.ม.
225,จ3-57(3)-1/45พล,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,5.4,ลบ.ม.
226,3-58(1)-5/33พล,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด,5.3,ลบ.ม.
227,3-58(1)-9/22พล,บริษัท ซี.พี.แอล จำกัด,9.2,ลบ.ม.
228,จ2-58(1)-137/64พล,ห้างหุ้นส่วนจำกัด ส.สุนทร,2.8,ลบ.ม.
229,จ2-58(1)-146/64พล,บริษัท เนรมิตบล็อก จำกัด,2.6,ลบ.ม.
230,จ2-58(1)-147/64พล,นางสาววรรณภา สุมารุ,2.4,ลบ.ม.
231,จ2-58(1)-149/64พล,นายจตุรงค์ ผิวอ่อนดี,2.4,ลบ.ม.
232,จ3-58(1)-109/56พล,บริษัท คมพิศิษฐ์ พี.เอส.ที.คอนกรีต จำด,4,ลบ.ม.
233,จ3-58(1)-120/56พล,บริษัท ปธังกรณ์คอนกรีต จำกัด,2.3,ลบ.ม.
234,จ3-58(1)-122/60พล,ห้างหุ้นส่วนจำกัด อุ้ยเซ็งผลิตภัณฑ์คอนกรีต,3.7,ลบ.ม.
235,จ3-58(1)-133/53พล,บริษัท ซี.พี.ซี คอนกรีตอัดแรง จำกัด,2.8,ลบ.ม.
236,จ3-58(1)-133/61พล,บริษัท ท๊อปแลนด์ คอนกรีต จำกัด,9,ลบ.ม.
237,จ3-58(1)-145/53พล,บริษัท ซี.พี.ซี. คอนกรีตอัดแรง จำกัด,2.8,ลบ.ม.
238,จ3-58(1)-159/60พล,นายวิทยา เสนานุช,3.3,ลบ.ม.
239,จ3-58(1)-181/62พล,บริษัท เพาเวอร์แพค คอนกรีต จำกัด,3.5,ลบ.ม.
240,จ3-58(1)-184/60พล,ห้างหุ้นส่วนจำกัด ชัยประเสริฐคอนกรีตอัดแรง,6.4,ลบ.ม.
241,จ3-58(1)-188/55พล,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,3.4,ลบ.ม.
242,จ3-58(1)-192/63พล,บริษัท เพาเวอร์แพค เทคคอน จำกัด,3.5,ลบ.ม.
243,จ3-58(1)-196/60พล,นายมานะ ภูมิผล,2.7,ลบ.ม.
244,จ3-58(1)-2/22พล,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,16,ลบ.ม.
245,จ3-58(1)-2/44พล,บริษัท รุ่งวิชัยคอนกรีต จำกัด,6.1,ลบ.ม.
246,จ3-58(1)-2/51พล,ห้างหุ้นส่วนจำกัด ณัฐชูพงศ์คอนกรีต,3.4,ลบ.ม.
247,จ3-58(1)-21/53พล,ห้างหุ้นส่วนจำกัด อุ้ยเซ้งผลิตภัณฑ์คอนกรีต,3.4,ลบ.ม.
248,จ3-58(1)-23/51พล,นางสาววรรณพร เตชะพันธ์รัตนกุล,4,ลบ.ม.
249,จ3-58(1)-256/56พล,ห้างหุ้นส่วนจำกัด สินรุ่งเรือง คอนกรีต,5.6,ลบ.ม.
250,จ3-58(1)-27/47พล,ห้างหุ้นส่วนจำกัด ชญานินคอนกรีตอัดแรง,5.8,ลบ.ม.
