ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,สถานภาพ,จังหวัด,หน่วย
181291,สำนักงานสถิติจังหวัดมหาสารคาม,75,2564,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
75057,สำนักงานสถิติจังหวัดมหาสารคาม,76,2564,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
5704,สำนักงานสถิติจังหวัดมหาสารคาม,77,2564,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
69353,สำนักงานสถิติจังหวัดมหาสารคาม,78,2564,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
84156,สำนักงานสถิติจังหวัดมหาสารคาม,79,2564,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
39343,สำนักงานสถิติจังหวัดมหาสารคาม,80,2564,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
44813,สำนักงานสถิติจังหวัดมหาสารคาม,81,2564,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
126230,สำนักงานสถิติจังหวัดมหาสารคาม,82,2564,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
59105,สำนักงานสถิติจังหวัดมหาสารคาม,83,2564,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
67125,สำนักงานสถิติจังหวัดมหาสารคาม,84,2564,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
267260,สำนักงานสถิติจังหวัดมหาสารคาม,85,2564,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
98693,สำนักงานสถิติจังหวัดมหาสารคาม,86,2564,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
168567,สำนักงานสถิติจังหวัดมหาสารคาม,87,2564,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
69336,สำนักงานสถิติจังหวัดมหาสารคาม,88,2564,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
3508,สำนักงานสถิติจังหวัดมหาสารคาม,89,2564,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
65828,สำนักงานสถิติจังหวัดมหาสารคาม,90,2564,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
82349,สำนักงานสถิติจังหวัดมหาสารคาม,91,2564,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
38489,สำนักงานสถิติจังหวัดมหาสารคาม,92,2564,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
43860,สำนักงานสถิติจังหวัดมหาสารคาม,93,2564,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
115575,สำนักงานสถิติจังหวัดมหาสารคาม,94,2564,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
56696,สำนักงานสถิติจังหวัดมหาสารคาม,95,2564,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
58879,สำนักงานสถิติจังหวัดมหาสารคาม,96,2564,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
254695,สำนักงานสถิติจังหวัดมหาสารคาม,97,2564,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
87164,สำนักงานสถิติจังหวัดมหาสารคาม,98,2564,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
167531,สำนักงานสถิติจังหวัดมหาสารคาม,99,2564,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
53448,สำนักงานสถิติจังหวัดมหาสารคาม,100,2564,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
763,สำนักงานสถิติจังหวัดมหาสารคาม,101,2564,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
52685,สำนักงานสถิติจังหวัดมหาสารคาม,102,2564,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
80582,สำนักงานสถิติจังหวัดมหาสารคาม,103,2564,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
32552,สำนักงานสถิติจังหวัดมหาสารคาม,104,2564,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
48030,สำนักงานสถิติจังหวัดมหาสารคาม,105,2564,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
120665,สำนักงานสถิติจังหวัดมหาสารคาม,106,2564,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
53849,สำนักงานสถิติจังหวัดมหาสารคาม,107,2564,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
66816,สำนักงานสถิติจังหวัดมหาสารคาม,108,2564,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
263915,สำนักงานสถิติจังหวัดมหาสารคาม,109,2564,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
97799,สำนักงานสถิติจังหวัดมหาสารคาม,110,2564,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
166116,สำนักงานสถิติจังหวัดมหาสารคาม,111,2564,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
64861,สำนักงานสถิติจังหวัดมหาสารคาม,112,2564,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
6936,สำนักงานสถิติจังหวัดมหาสารคาม,113,2564,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
57925,สำนักงานสถิติจังหวัดมหาสารคาม,114,2564,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
78328,สำนักงานสถิติจังหวัดมหาสารคาม,115,2564,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
35061,สำนักงานสถิติจังหวัดมหาสารคาม,116,2564,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
43267,สำนักงานสถิติจังหวัดมหาสารคาม,117,2564,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
14221,สำนักงานสถิติจังหวัดมหาสารคาม,118,2564,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
9792,สำนักงานสถิติจังหวัดมหาสารคาม,119,2564,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
4429,สำนักงานสถิติจังหวัดมหาสารคาม,120,2564,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
242532,สำนักงานสถิติจังหวัดมหาสารคาม,121,2565,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
85037,สำนักงานสถิติจังหวัดมหาสารคาม,122,2565,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
157495,สำนักงานสถิติจังหวัดมหาสารคาม,123,2565,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
61678,สำนักงานสถิติจังหวัดมหาสารคาม,124,2565,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
1986,สำนักงานสถิติจังหวัดมหาสารคาม,125,2565,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
