province,sex,quarter,occupation,_id,year,value,attribute,unit,source
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,108,2566,798248,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,ผู้ประกอบอาชีพงานพื้นฐาน,109,2566,654645,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 4,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,110,2566,18446,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,รวมยอด,111,2566,2967774,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,112,2566,216396,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,ผู้ประกอบวิชาชีพด้านต่าง ๆ,113,2566,243964,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,114,2566,229915,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,เสมียน,115,2566,149340,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,พนักงานบริการและผู้จำหน่ายสินค้า,116,2566,700009,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,117,2566,13440,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,118,2566,535783,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,119,2566,632974,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,ผู้ประกอบอาชีพงานพื้นฐาน,120,2566,237111,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 4,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,121,2566,8843,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,รวมยอด,122,2566,2753405,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,123,2566,168182,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,ผู้ประกอบวิชาชีพด้านต่าง ๆ,124,2566,295229,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,125,2566,314757,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,เสมียน,126,2566,301181,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,พนักงานบริการและผู้จำหน่ายสินค้า,127,2566,942695,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,128,2566,9616,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,129,2566,129334,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,130,2566,165274,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,ผู้ประกอบอาชีพงานพื้นฐาน,131,2566,417534,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 4,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,132,2566,9603,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 1,รวมยอด,133,2567,5775495,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 1,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,134,2567,354791,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 1,ผู้ประกอบวิชาชีพด้านต่าง ๆ,135,2567,594102,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 1,เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,136,2567,592972,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 1,เสมียน,137,2567,466765,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 1,พนักงานบริการและผู้จำหน่ายสินค้า,138,2567,1644157,,คน,สำนักงานสถิติแห่งชาติ
