_id,ปี,ชื่อโรงงาน,ชื่อเจ้าของ,ประกอบกิจการ,อำเภอ,จังหวัด
71,2565,บริษัท โตโย เท็กซ์ไทล์ ไทย จำกัด,บริษัท โตโย เท็กซ์ไทล์ ไทย จำกัด,ถักถุงเท้า (จำนวนเครื่องถัก 65 เครื่อง),ศรีราชา,ชลบุรี
72,2565,บริษัท ทีพีซีเอส จำกัด (มหาชน),บริษัท ทีพีซีเอส จำกัด (มหาชน),ถักผ้ายืด,ศรีราชา,ชลบุรี
73,2565,บริษัท อินทิเกรเต็ด เลเธอร์ เน็ตเวอร์ค จำกัด,บริษัท อินทิเกรเต็ด เลเธอร์ เน็ตเวอร์ค จำกัด,ตกแต่งหนังแผ่น,บ้านบึง,ชลบุรี
74,2565,บริษัท ศรีราชาฟาร์ม (เอเชีย) จำกัด,บริษัท ศรีราชาฟาร์ม (เอเชีย) จำกัด,ฟอกหนังจระเข้,ศรีราชา,ชลบุรี
75,2565,บริษัท ภวินท์ เลทเธอร์ จำกัด,บริษัท ภวินท์ เลทเธอร์ จำกัด,ฟอกหนังปลากระเบน,ศรีราชา,ชลบุรี
76,2565,บริษัท เคทีที (ประเทศไทย) จำกัด,บริษัท เคทีที (ประเทศไทย) จำกัด,ปรับสภาพตัดแต่งหนังสัตว์(เช่นหนังโคกระบืออูฐฯลฯ)ประเภทหมักเกลือฟอกกึ่งสำเร็จรูปและสำเร็จรูป(ผ่านการทำสีแล้ว)ตลอดจนจัดเก็บหนังสัตว์ดังกล่าวรวมทั้งรับจ้างปรับสภาพตัดแต่งหนังสัตว์ทุกประเภท,ศรีราชา,ชลบุรี
77,2565,บริษัท อินเตอร์เฟซฟลอร์ (ประเทศไทย) จำกัด,บริษัท อินเตอร์เฟซฟลอร์ (ประเทศไทย) จำกัด,ผลิตพรมและจัดทำส่วนประกอบรองพรมสำหรับปูพรม,พานทอง,ชลบุรี
78,2565,บริษัท ฟล๊อบส์ (ประเทศไทย) จำกัด,บริษัท ฟล๊อบส์ (ประเทศไทย) จำกัด,ผลิตพรม,ศรีราชา,ชลบุรี
79,2565,บริษัท เลธเธอร์ ชูส์ อินเตอร์ เนชั่นแนล จำกัด,บริษัท เลธเธอร์ ชูส์ อินเตอร์ เนชั่นแนล จำกัด,ผลิตรองเท้าหรือชิ้นส่วนของรองเท้า,บ่อทอง,ชลบุรี
80,2565,บริษัท เลธเธอร์ ชูส์ อินเตอร์เนชั่นแนล จำกัด,บริษัท เลธเธอร์ ชูส์ อินเตอร์เนชั่นแนล จำกัด,ทำรองเท้า,บ่อทอง,ชลบุรี
81,2565,บริษัท ซีพีแอล กรุ๊ป จำกัด (มหาชน),บริษัท ซีพีแอล กรุ๊ป จำกัด (มหาชน),ทำรองเท้าหนัง และรองเท้านิรภัย,บ้านบึง,ชลบุรี
82,2565,บริษัท วีนรีส เทรดดิ้ง จำกัด,บริษัท วีนรีส เทรดดิ้ง จำกัด,ผลิตรองเท้าทุกชนิด,พนัสนิคม,ชลบุรี
83,2565,บริษัท อัลฟา แปซิฟิค จำกัด,บริษัท อัลฟา แปซิฟิค จำกัด,"ผลิตSHOECOMPONENTS(PHYLON,INSOLE)",พานทอง,ชลบุรี
84,2565,บริษัท ไทเท็กซ์ เอเซีย จำกัด,บริษัท ไทเท็กซ์ เอเซีย จำกัด,"ผ้าพื้นรองเท้า ผ้าที่ใช้สำหรับตกแต่งอาคาร,อุตสาหกรรมรถยนต์,วงการแพทย์ และอุตสาหกรรมทั่วไป ผลิตเม็ดพลาสติก 1. ผลิตผ้าสำหรับอุตสาหกรรมรองเท้า ผ้าบุพื้นรองเท้า, ผ้าซับในรองเท้า, ผ้าใช้สำหรับด้านนอกรองเท้า, กระดาษอินส์สโตนใช้สำหรับบุรองเท้า 2. ผลิตผ้าสำหรับตก",ศรีราชา,ชลบุรี
85,2565,ห้างหุ้นส่วนจำกัด ศิริลักษณ์รับเบอร์,ห้างหุ้นส่วนจำกัด ศิริลักษณ์รับเบอร์,ผลิตรองเท้าและชิ้นส่วนรองเท้า,ศรีราชา,ชลบุรี
86,2565,บริษัท ดับเบิ้ลยูบีแอลพี จำกัด,บริษัท ดับเบิ้ลยูบีแอลพี จำกัด,ผลิตรองเท้าผ้าใบ รองเท้าหนัง และกระเป๋า,ศรีราชา,ชลบุรี
87,2565,บริษัท เพค อินดัสทรีส์ จำกัด,บริษัท เพค อินดัสทรีส์ จำกัด,ผลิตชิ้นส่วนที่ใช้ในงานรองเท้า เช่น ตาไก่รองเท้า,ศรีราชา,ชลบุรี
88,2565,บริษัท เอส เค แอนด์ เค เทคโนโลยี จำกัด,บริษัท เอส เค แอนด์ เค เทคโนโลยี จำกัด,ผลิตชิ้นส่วนรองเท้า เช่น ตาไก่รองเท้า และทำโมลด์สำหรับตอกตาไก่,ศรีราชา,ชลบุรี
89,2565,บริษัท โรฟุ (ประเทศไทย) จำกัด,บริษัท โรฟุ (ประเทศไทย) จำกัด,ผลิตรองเท้าหนัง รองเท้าผ้าใบ และพื้นรองเท้า,ศรีราชา,ชลบุรี
90,2565,บริษัท อินเตอร์เนชั่นแนลเลทเธอร์แฟชั่น จำกัด,บริษัท อินเตอร์เนชั่นแนลเลทเธอร์แฟชั่น จำกัด,ผลิตรองเท้าหนังแท้สุภาพบุรุษและสุภาพสตรี,ศรีราชา,ชลบุรี
91,2565,บริษัท ดับเบิ้ลยูบีแอลพี จำกัด,บริษัท ดับเบิ้ลยูบีแอลพี จำกัด,ผลิตรองเท้าหรือชิ้นส่วนของรองเท้า,ศรีราชา,ชลบุรี
92,2565,บริษัท เอ.ดับบลิว.วู้ดเทค จำกัด,บริษัท เอ.ดับบลิว.วู้ดเทค จำกัด,ผลิตและจำหน่ายเฟอร์นิเจอร์,เกาะจันทร์,ชลบุรี
93,2565,บริษัท เดคคา เอ็มเอฟจี (ประเทศไทย) จำกัด,บริษัท เดคคา เอ็มเอฟจี (ประเทศไทย) จำกัด,ทำเครื่องเรือนจากไม้ยางพารา,เกาะจันทร์,ชลบุรี
94,2565,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,ผลิตชิ้นส่วนละอุปกรณ์เฟอร์นิเจอร์จากไม้,เกาะจันทร์,ชลบุรี
95,2565,บริษัท ดีลักซ์ แอนด์ เดคคอร์ จำกัด,บริษัท ดีลักซ์ แอนด์ เดคคอร์ จำกัด,ผลิตเฟอร์นิเจอร์,เกาะจันทร์,ชลบุรี
96,2565,บริษัท ซีเอชโอโตอินดัสตรี่ จำกัด,บริษัท ซีเอชโอโตอินดัสตรี่ จำกัด,ทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ยางพาราแปรรูป รวมถึงชิ้นส่วนของผลิตภัณฑ์ดังกล่าว,เกาะจันทร์,ชลบุรี
97,2565,นายสำเภา จิตร์มั่น,นายสำเภา จิตร์มั่น,ทำเครื่องเรือนเครื่องใช้จากไม้,บ่อทอง,ชลบุรี
98,2565,บริษัท แอล เอฟ เฟอร์นิเจอร์ จำกัด,บริษัท แอล เอฟ เฟอร์นิเจอร์ จำกัด,ทำเฟอร์นิเจอร์และของใช้ในครัวเรือนจากไม้ เช่น โต๊ะ เก้าอี้ ของเด็กเล่น,บ่อทอง,ชลบุรี
99,2565,บริษัท อีโค วูด จำกัด,บริษัท อีโค วูด จำกัด,เครื่องเรือนหรือเครื่องตกแต่งภายในอาคารจากไม้,บ่อทอง,ชลบุรี
