ค่าข้อมูล,การศึกษาที่สาเร็จ,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,140,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
463,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,141,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
76349,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,142,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
42135,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,143,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
34214,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,144,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
102000,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,145,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
52338,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,146,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
49662,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,147,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
59454,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,148,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
38157,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,149,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
21296,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,150,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
89509,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,151,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
50927,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,152,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
38582,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,153,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
80929,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,154,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
45028,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,155,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
35901,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,156,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
