ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,ปักธงชัย,3404,การทำฝอยไม้ การบด ป่น หรือย่อยไม้,,,10300000000000,15.5,12,นครราชสีมา,11,159,279,2558,งิ้ว,3-34(4)-38/58นม,บริษัท โคราช ไบโอแมส โปรดักส์ จำกัด,9616,บริษัท โคราช ไบโอแมส โปรดักส์ จำกัด,3,30150
ผลิตน้ำแข็ง และน้ำดื่ม,แก้งสนามนาง,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,10300000000000,52.1,40,นครราชสีมา,5,121,297.5,2559,โนนสำราญ,3-14-40/59นม,บริษัท วารีเทพแก้งสนามนาง จำกัด,9617,บริษัท วารีเทพแก้งสนามนาง จำกัด,3,30440
กลึงและตกแต่งชิ้นงานอลูมิเนียม,เมืองฉะเชิงเทรา,6413,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,ร.พ.ช,,10200000000000,50,177,ฉะเชิงเทรา,10,42/2,370.5,2539,คลองเปรง,3-64(13)-1/39ฉช,บริษัท บีดีไออัลลอย เอ็นเตอร์ไพรส์ จำกัด,9618,บริษัท บีดีไอ อัลลอยเอ็นเตอร์ไพรส์ จำกัด,3,24000
รับจ้างตัดเหล็ก อลูมิเนียม ทองแดง ทองเหลือง สังกะสี และโลหะต่าง ๆ,บางปะกง,6412,การตัด พับ  หรือม้วนโลหะ,ฉะเชิงเทรา-บางปะกง,วัดสามแยก,10200000000000,220,81,ฉะเชิงเทรา,1,19,1035.43,2540,หนองจอก,3-64(12)-1/40ฉช,บริษัท ซีเอสนันเฟอร์รัส เซ็นเตอร์ จำกัด,9619,บริษัท ซีเอส นันเฟอร์รัส เซ็นเตอร์ จำกัด,3,24130
ปรับคุณภาพน้ำเสียรวม,พนมสารคาม,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),,,10200000000000,30.74551,7,ฉะเชิงเทรา,3,200,165,2539,เขาหินซ้อน,3-101-1/39ฉช,บริษัท 304 อินดัสเตรียล ปาร์ล 2 จำกัด,9620,บริษัท 304 อินดัสเตรียล ปาร์ค2 จำกัด,3,24120
ทำน้ำแข็ง น้ำแข็งหลอดและน้ำแข็งซอง,กบินทร์บุรี,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,-,-,10300000000000,2.4,6,ปราจีนบุรี,5,"โฉนดที่ดินเลขที่ 36127, 39524",1849.26,2518,กบินทร์,3-14-1/18ปจ,บริษัท วารีเทพบูรพา จำกัด,9621,บริษัท วารีเทพบูรพา จำกัด,3,25110
ผลิตสุราขาว และสุราผสม ตามสัญญาที่ทำไว้กับกรมสรรพสามิต,ศรีมหาโพธิ,1600,โรงงานต้ม กลั่น หรือผสมสุรา,,,10300000000000,199.4,182,ปราจีนบุรี,1,333,12630.38,2528,ท่าตูม,3-16-1/28ปจ,บริษัท เฟื่องฟูอนันต์ จำกัด,9622,บริษัท เฟื่องฟูอนันต์ จำกัด,3,25140
ผลิตสีย้อมผ้า,ศรีมหาโพธิ,4201,การทำเคมีภัณฑ์ สารเคมี หรือวัสดุเคมี ที่มิใช่ (3),ศรีมหาโพธิ์ระเบาะไผ่,,10300000000000,80,32,ปราจีนบุรี,5,199,3119.3,2536,หนองโพรง,3-42(1)-1/36ปจ,บริษัท พิสิษฐ์ อินเตอร์กรุ๊ป จำกัด,9623,บริษัท พิสิษฐ์ อินเตอร์กรุ๊ป จำกัด,3,25140
ทำของใช้ต่าง ๆ จากสิ่งทอ กระดาษ พลาสติก อลูมิเนียมฟอยล์ เช่น ปลอกหมอน ผ้าปิดตา พนักพิง กระเป๋า แก้ว ช้อน มีด กล่องบรรจุอาหาร ที่รองแก้ว ที่ปูโต๊ะ และบแบ่งบรรจุเครื่องปรุงรส เช่น เกลือ น้ำตาล พริกไทย,ศรีมหาโพธิ,2301,การทำผลิตภัณฑ์จากสิ่งทอเป็นเครื่องใช้ในบ้าน,ทุ่งคล้อ-บ้านท่าตูม,  -,10300000000000,258.05878,1216,ปราจีนบุรี,5,"172, 173, 175, 178",5057.16,2546,ท่าตูม,3-23(1)-1/46ปจ,บริษัท เดอสเตอร์ จำกัด,9624,บริษัท เดอสเตอร์ จำกัด,3,25140
นำของเสียจากอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์มาผ่านกรรมวิธีบดย่อยเพื่อคัดแยกโลหะมีค่าและอบกากตะกอนที่มีองค์ประกอบของโลหะมีค่าจากอุตสาหกรรมกลับมาใช้ประโยชน์ใหม่,บ้านโพธิ์,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,ฉะเชิงเทรา-พนัสนิคม,,10200000000000,16,60,ฉะเชิงเทรา,1,46154,35.25,2560,หนองบัว,3-106-73/60ฉช,ห้างหุ้นส่วนจำกัด วิบูลย์ชัย แมนเนจเมนท์,9625,ห้างหุ้นส่วนจำกัด วิบูลย์ชัย แมนเนจเมนท์,3,24140
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางคล้า,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10200000000000,8,20,ฉะเชิงเทรา,2,โฉนดที่ดินเลขที่ 18325,588,2562,สาวชะโงก,3-105-4/62ฉช,บริษัท โสรัจจกิจ จำกัด,9626,บริษัท โสรัจจกิจ จำกัด,3,24110
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,บางปะกง,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,สุขุมวิท (บางปะกง-สมุทรปราการ),,10200000000000,5.2,4,ฉะเชิงเทรา,6,50/2,101,2560,สองคลอง,3-105-88/60ฉช,บริษัท สยามไอรอน จำกัด,9627,บริษัท สยามไอรอน จำกัด,3,24130
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองฉะเชิงเทรา,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10200000000000,3.5,5,ฉะเชิงเทรา,6,โฉนดที่ดินเลขที่ 25657,147,2560,คลองหลวงแพ่ง,3-105-96/60ฉช,นางทองคำ แก้วมะวงค์,9628,นางทองคำ แก้วมะวงค์,3,24000
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บ้านโพธิ์,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10200000000000,4.5,4,ฉะเชิงเทรา,3,33/4,106,2560,บางกรูด,3-105-98/60ฉช,นายวัชรากร วันทานะ,9629,วันชนะ พลัส,3,24140
ทำชิ้นส่วนเครื่องเรือนจากไม้,แปลงยาว,3700,โรงงานทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,-,-,10200000000000,13,30,ฉะเชิงเทรา,2,55/5,2257.1,2547,แปลงยาว,3-37-221/47ฉช,บริษัท ที.ซี.วี.เบนท์วู้ด จำกัด,9630,บริษัท ที.ซี.วี.เบนท์วู้ด จำกัด,3,24190
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองฉะเชิงเทรา,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10200000000000,6.5,26,ฉะเชิงเทรา,5,46095,169,2566,วังตะเคียน,3-105-20/66ฉช,นางณัฐกฤตา นวลจันทร์,9631,นางณัฐกฤตา นวลจันทร์,3,24000
ผลิตและจัดจำหน่ายน้ำแข็งซองและน้ำแข็งก้อนเล็ก,แปลงยาว,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,-,-,10200000000000,90,12,ฉะเชิงเทรา,8,168/9,2511.5,2566,แปลงยาว,3-14-4/66ฉช,บริษัท วายเค พรีเมี่ยมไอซ์ จำกัด,9632,บริษัท วายเค พรีเมี่ยมไอซ์ จำกัด,3,24190
"โรงงานบำบัดน้ำเสียรวม ได้ 8,000 ลูกบาศก์เมตรต่อวัน",กบินทร์บุรี,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),สุวรรณศร,-,10300000000000,5.03,7,ปราจีนบุรี,3,111/1,50,2544,กบินทร์,3-101-1/44ปจ,บริษัท อีสเทิร์น ไทย คอนซัลติ้ง 1992 จำกัด,9633,บริษัท อีสเทิร์น ไทย คอนซัลติ้ง 1992 จำกัด,3,25110
โรงงานบำบัดน้ำเสียรวม,ศรีมหาโพธิ,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),,,10300000000000,170.5,16,ปราจีนบุรี,4,209,2042.89,2539,ท่าตูม,3-101-2/39ปจ,บริษัท 304 อินดัสเตรียลปาร์ค จำกัด,9634,บริษัท 304 อินดัสเตรียลปาร์ค จำกัด,3,25140
นำตะกรันและเศษโลหะ เช่น ทองแดง อลูมิเนียม มาบดย่อยและหลอมหล่อเป็นแท่ง ถอดแยกมอเตอร์เก่าที่ไม่เป็นของเสียอันตราย บดย่อยเศษสายไฟ คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,กบินทร์บุรี,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,,,10300000000000,167,120,ปราจีนบุรี,3,โฉนดที่ดินเลขที่ 30389,2347.57,2564,หนองกี่,3-106-66/64ปจ,บริษัท คราฟท์แมน เมทัล (ไทยแลนด์) จำกัด ,9635,บริษัท คราฟท์แมน เมทัล (ไทยแลนด์) จำกัด ,3,25110
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,กบินทร์บุรี,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,ร.พ.ช. โคกสั้น,,10300000000000,1.05,15,ปราจีนบุรี,4,60,145.2,2564,หนองกี่,3-105-112/64ปจ,บริษัท ทีมพลาส จำกัด,9636,บริษัท ทีมพลาส จำกัด,3,25110
ผลิตชิ้นส่วนอุปกรณ์เครื่องใช้ไฟฟ้า อิเลคทรอนิคส์ ยานยนต์ และอุปกรณ์เครื่องใช้ไฟฟ้าด้วยการฉีดอลูมินั่มขึ้นรูป,กบินทร์บุรี,7100,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องจักรหรือผลิตภัณฑ์ที่ระบุไว้ในลำดับที่ 70 เฉพาะที่ใช้ไฟฟ้า, -, -,10300000000000,156.858,146,ปราจีนบุรี,1,124,1769.1,2546,นนทรี,3-71-1/46ปจ,บริษัท จาโนเม่ไดคาสติ้ง (ประเทศไทย) จำกัด,9637,บริษัท จาโนเม่ไดคาสติ้ง (ประเทศไทย) จำกัด,3,25110
"ปรับคุณภาพน้ำเสียรวม ได้ 2,000 ลูกบาศก์เมตร/วัน",กบินทร์บุรี,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),สุวรรณศร,,10300000000000,50.55,11,ปราจีนบุรี,5,111/1,393.14,2538,นนทรี,3-101-1/38ปจ,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),9638,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),3,25110
ผลิตมิเตอร์วัดน้ำ และอุปกรณ์ทองเหลือง,กบินทร์บุรี,6408,การทำเครื่องสุขภัณฑ์เหล็กหรือโลหะเคลือบ เครื่องทองเหลืองสำหรับใช้ในการต่อท่อ ,ทางหลวงหมายเลข 304,,10300000000000,0,220,ปราจีนบุรี,9,88/3,2569.77,2540,ลาดตะเคียน,3-64(8)-1/40ปจ,บริษัท สหมิเตอร์ จำกัด,9639,บริษัท สหมิเตอร์ จำกัด,3,25110
หลอมหล่อเศษโลหะจากเศษอิเล็กทรอนิกส์ เพื่อกลับมาใช้ใหม่,พนมสารคาม,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,,,10200000000000,15,20,ฉะเชิงเทรา,1,378,1011,2563,เขาหินซ้อน,3-106-20/63ฉช,บริษัท ซี ที สตีล จำกัด,9640,บริษัท ซี ที สตีล จำกัด,3,24120
ผลิตผลิตภัณฑ์พลาสติก เช่น การทำเม็ดพลาสติกชนิดพิเศษ,บางปะกง,5305,การทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชั้น ผง หรือรูปทรงต่าง ๆ,พิมพาวาส,,10200000000000,10.6,44,ฉะเชิงเทรา,1,46115,1130.22,2563,พิมพา,3-53(5)-17/63ฉช,บริษัท สยาม อีโค-คาเซ จำกัด,9641,บริษัท สยาม อีโค-คาเซ จำกัด,3,24180
ผลิต ประกอบ จำหน่าย ชิ้นส่วนสำหรับอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ เช่น แผงวงจรอิเล็กทรอนิกส์ อแดปเตอร์แปลงไฟฟ้า เครื่องคำนวณอัจฉริยะ กล้องวงจรปิด แป้นพิมพ์สำหรับคอมพิวเตอร์ อุปกรณ์ควบคุมตัวชี้บนจอคอมพิวเตอร์ (Mouse) กล้องส่องทางการแพทย์,บางปะกง,6900,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องคำนวณ เครื่องทำบัญชี หรือเครื่องอิเล็กทรอนิกส์,,,10200000000000,4042.015538,5186,ฉะเชิงเทรา,5,"โฉนดที่ดินเลขที่ 6095, 9406, 9407, 9408, 15852, 30452, 30453, 30454, 30455, 30456",9945.84,2567,ท่าข้าม,3-69-3/67ฉช,บริษัท ชิโคนี่ อีเลคทรอนิคส์ (ประเทศไทย) จำกัด,9642,บริษัท ชิโคนี่ อีเลคทรอนิคส์ (ประเทศไทย) จำกัด,3,24130
ขึ้นรูปชิ้นงานจากอลูมิเนียม และงานผลิตแม่พิมพ์โลหะ,เมืองฉะเชิงเทรา,6409,การทำเครื่องใช้เล็ก ๆ จากโลหะ,,,10200000000000,99.007097,41,ฉะเชิงเทรา,3,95,873.25,2564,คลองอุดมชลจร,3-64(9)-2/64ฉช,บริษัท ซินอี้ อินดัสเทรียล จำกัด,9643,บริษัท ซินอี้ อินดัสเทรียล จำกัด,3,24000
คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่ใช่ของเสียอันตราย,เมืองฉะเชิงเทรา,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,,10200000000000,63.2,8,ฉะเชิงเทรา,10,46151,384,2562,คลองเปรง,3-105-22/62ฉช,บริษัท ชัย เวสต์ แมนเน็จเม้นท์ จำกัด,9644,บริษัท ชัย เวสต์ แมนเน็จเม้นท์ จำกัด,3,24000
ผลิตกาวและเคมีภัณฑ์,บางปะกง,4803,การทำผลิตภัณฑ์สำหรับกันน้ำ ตัวทำให้เปียกน้ำ ตัวทำให้ตีเข้าด้วยกันได้ ตัวทำให้ซึม,บางนา-ตราด,,10200000000000,3.1,13,ฉะเชิงเทรา,5,63,103.75,2530,บางสมัคร,3-48(3)-1/30ฉช,บริษัท เคมเอ็กซ์ จำกัด,9645,บริษัท เคมเอ็กซ์ จำกัด,3,24180
ทำผลิตภัณฑ์พลาสติก เช่น ของเด็กเล่นชนิดอัดลม กระเป๋า ร่ม ที่ใส่ดินสอ,บางปะกง,5301,การทำเครื่องมือ เครื่องใช้ เครื่องเรือน หรือเครื่องประดับ และรวมถึงชิ้นส่วนของผลิตภัณฑ์,ทางเข้าโรงไฟฟ้าบางปะกง,-,10200000000000,37,260,ฉะเชิงเทรา,5,78/12,580.85,2533,ท่าข้าม,3-53(1)-1/33ฉช,บริษัท กานาไทย อินดัสเทรียล จำกัด,9646,บริษัท กานาไทย อินดัสเทรียล จำกัด,3,24130
ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ ขนาด 7.46 เมกะวัตต์,สูงเนิน,8801,การผลิตพลังงานไฟฟ้าจากพลังงานแสงอาทิตย์ ยกเว้นที่ติดตั้งบนหลังคา ดาดฟ้า,,,10300000000000,630,12,นครราชสีมา,2,388,19561.61,2555,มะเกลือเก่า,3-88(1)-54/55นม,บริษัท โซล่า เพาเวอร์(โคราช9) จำกัด,9647,บริษัท โซล่า เพาเวอร์ (โคราช 9) จำกัด,3,30170
ทำมันเม็ดแข็ง,สีคิ้ว,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,สีคิ้ว-ชัยภูมิ,,10300000000000,4.3,27,นครราชสีมา,3,36-37,4140.38,2519,สีคิ้ว,3-9(6)-59/19นม,บริษัท พิชัยแสงตะวัน จำกัด,9648,บริษัท พิชัยแสงตะวัน จำกัด,3,30140
ลานตากกากมันสำปะหลัง,ขามทะเลสอ,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,,,10300000000000,20,3,นครราชสีมา,2,น.ส.3 เล่มที่ 7 หน้า 37 สารบบเล่มเลขที่ 185,518,2561,โป่งแดง,3-106-62/61นม,นายสุรศักดิ์ จารุทวัย,9649,เชียงโชคพืชผล,3,30280
ขุดตักดิน-ทรายและดูดทรายในที่ดินกรรมสิทธิ์,ชุมพวง,302,การขุดหรือลอกกรวด ทราย หรือดิน,,,10300000000000,16,6,นครราชสีมา,7,โฉนดที่ดินเลขที่ 18928,1265,2561,โนนยอ,3-3(2)-67/61นม,นางศศิธร ประเสริฐรุ่งเรือง,9650,-,3,30270
ผลิตพลังงานไฟฟ้าจากเชื้อเพลิงชีวมวล ขนาด 9.9 เมกะวัตต์,เมืองนครราชสีมา,8802,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,มิตรภาพ,,10300000000000,580,27,นครราชสีมา,8,386,16431,2554,บ้านโพธิ์,3-88(2)-90/54นม,บริษัท แอ๊ดวานซ์ เอเชีย เอ็นเนอร์จี้ จำกัด ,9651,บริษัท แอ๊ดวานซ์ เอเชีย เอ็นเนอร์จี้ จำกัด,3,30310
ขุดและดูดทรายในที่ดินกรรมสิทธิ์,จักราช,304,การดูดทราย,,,10300000000000,11.3,6,นครราชสีมา,-,"โฉนดที่ดินเลขที่ 19032, 19031, 6751, 3009, 18783, 18743, และ 18742",2010,2569,หนองพลวง,3-3(4)-1/69นม,นายสมบัติ หุ่นประเสริฐ,9652,นายสมบัติ หุ่นประเสริฐ,3,30230
ขุดและดูดทรายในที่ดินกรรมสิทธิ์,จักราช,304,การดูดทราย,,,10300000000000,9.2,6,นครราชสีมา,11,"โฉนดที่ดินเลขที่ 23713, 18739, 23564, 23565, 24052, 24053, 23563, 23562, 18738, 23561, 23560, 20700 และหนังสือรับรองการทำประโยชน์ น.ส.3 307/251",2010,2569,หนองพลวง,3-3(4)-2/69นม,นายสมบัติ หุ่นประเสริฐ,9653,นายสมบัติ หุ่นประเสริฐ,3,30230
ผลิตคอนกรีตบล็อก บล็อกประสานและสารปรับปรุงคุณภาพดินหรือปุ๋ยอินทรีย์จากวัสดุที่ไม่เป็นของเสียอันตราย,โนนไทย,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,,,10300000000000,46,16,นครราชสีมา,4,โฉนดที่ดินเลขที่ 22482,1428,2569,บัลลังก์,3-106-4/69นม,บริษัท ไบโอบริคพลัส จำกัด,9654,บริษัท ไบโอบริคพลัส จำกัด,3,30220
"ปรับคุณภาพน้ำเสียรวม ได้ 23,000 ลูกบาศก์เมตร/วัน",ศรีมหาโพธิ,10100,โรงงานปรับคุณภาพของเสียรวม (Central Waste Treatment Plant),ทางหลวง 3079,,10300000000000,150,15,ปราจีนบุรี,2,1,2873.09,2539,ท่าตูม,3-101-1/39ปจ,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),9655,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),3,25140
ทำน้ำแข็งก้อนเล็ก ได้วันละ 14 ตัน,เมืองนครนายก,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,รังสิต-นครนายก,-,10300000000000,0.465,12,นครนายก,1,26,470.7,2529,ท่าช้าง,3-14-1/29นย,ห้างหุ้นส่วนจำกัด นครนายกศรีมงคล,9656,ห้างหุ้นส่วนจำกัด นครนายกศรีมงคล,3,26000
หลอมหล่อทองเหลืองและอลูมิเนียมแท่ง ได้ปีละ 144 ตัน,เมืองนครนายก,6000,การถลุง ผสม ทำให้บริสุทธิ์ หล่อ หลอม รีด ดึง หรือผลิตโลหะในขั้นต้นซึ่งมิใช่เหล็ก,,,10300000000000,1.85,8,นครนายก,6,15,281.64,2535,วังกระโจม,3-60-1/35นย,ห้างหุ้นส่วนจำกัด ชำนาญการหล่อโลหะกิจ,9657,ห้างหุ้นส่วนจำกัด ชำนาญการหล่อโลหะกิจ,3,26000
ปั่นด้าย (จำนวนแกนปั่นด้าย 1400 แกน),บ้านนา,2201,การหมัก คาร์บอไนซ์ สาง หวี รีด ปั่น อบ ควบ บิดเกลียว กรอ เท็กซเจอร์ไรซ์ ฟอก หรือย้อมสีเส้นใย,,,10300000000000,13,98,นครนายก,3,19,1972.8,2536,ป่าขะ,3-22(1)-1/36นย,บริษัท บ้านนาสปินเท็กซ์ จำกัด,9658,บริษัท บ้านนาสปินเท็กซ์ จำกัด,3,26110
สีข้าว ชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน),ปากพลี,901,การสี ฝัด หรือขัดข้าว,,,10300000000000,0,30,นครนายก,4,228,741.16,2515,หนองแสง,3-9(1)-32/15นย,นายสันตชัย เหมยากร,9659,โรงสีไพบูลย์ศิริ,3,26130
ทำมันเส้น,วัฒนานคร,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,วัฒนานคร-คลองหาด,,10300000000000,4.73,4,สระแก้ว,9,106,240,2535,ท่าเกวียน,3-9(6)-2/35สก,ห้างหุ้นส่วนจำกัด เจริญพืชผลวัฒนานคร,9660,เจริญการเกษตร,3,27160
ทำน้ำแข็ง,อรัญประเทศ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,ราษฎร์อุทิศ,,10300000000000,0.5,12,สระแก้ว,0,57,694.46,2521,อรัญประเทศ,3-14-3/21สก,นายโกศล โคมทอง,9661,โรงน้ำแขงอรัญมิตรสัมพันธ์,3,27120
ทำมันเส้น,วัฒนานคร,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,สุวรรณศร,,10300000000000,1.045,5,สระแก้ว,10,-,120,2530,วัฒนานคร,3-9(6)-7/30สก,นางสาวปฎิมา โสตถิพัฒนพงศ์,9662,ส.ประสพผล,3,27160
ผลิตชิ้นไม้สับจากไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,วังน้ำเย็น,3404,การทำฝอยไม้ การบด ป่น หรือย่อยไม้,-,-,10300000000000,1.004,7,สระแก้ว,6,189,201,2551,วังน้ำเย็น,3-34(4)-16/51สก,นางสาววิสุดา ยอดวุธ,9663,-,3,27210
ผลิตกระดาษพิมพ์ และกระดาษเขียน กำลังการผลิต 36000 ตันต่อปี,พนมสารคาม,3802,การทำกระดาษ กระดาษแข็ง หรือกระดาษที่ใช้ในการก่อสร้างชนิดที่ทำจากเส้นใย (Fibre),กบินทร์บุรี-ฉะเชิงเทรา,,10200000000000,575,132,ฉะเชิงเทรา,3,99/1,8155.4,2536,เขาหินซ้อน,3-38(2)-1/36ฉช,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),9664,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),3,24120
ปรับปรุงคุณภาพเมล็ดข้าวสาร ได้ชั่วโมงละ 410 ตัน,บางปะกง,901,การสี ฝัด หรือขัดข้าว,ฉะเชิงเทรา-บางปะกง,-,10200000000000,521.268,30,ฉะเชิงเทรา,8,55,13107.16,2546,ท่าสะอ้าน,3-9(1)-1/46ฉช,บริษัท เอเซีย โกลเด้น ไรซ์ จำกัด,9665,บริษัท เอเซีย โกลเด้น ไรซ์ จำกัด,3,24130
จัดหาน้ำหรือจำหน่ายน้ำ,คลองเขื่อน,9000,โรงงานจัดหาน้ำ ทำน้ำให้บริสุทธิ์ หรือจำหน่ายน้ำไปยังอาคารหรือโรงงานอุตสาหกรรม,คันกั้นน้ำสายท่าไข่-บางขนาก,-,10200000000000,900,14,ฉะเชิงเทรา,6,46031,3324.38,2548,คลองเขื่อน,3-90-1/48ฉช,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),9666,สถานีสูบน้ำคลองเขื่อน,3,24000
ผลิตและตรวจสอบแผงวงจรรวม (IC),เมืองฉะเชิงเทรา,7200,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำ,สุวินทวงศ์,,10200000000000,1357.325,852,ฉะเชิงเทรา,1,-,3887.5,2538,วังตะเคียน,3-72-2/38ฉช,บริษัท ไมโครชิพ เทคโนโลยี(ไทยแลนด์) จำกัด,9667,บริษัท ไมโครชิพ เทคโนโลยี(ไทยแลนด์) จำกัด,3,24000
ผลิตสายไฟฟ้าทองแดง แรงต่ำ และผลิตลวดทองแดง,บางน้ำเปรี้ยว,7402,โรงงานประกอบกิจการเกี่ยวกับอุปกรณ์ไฟฟ้า การทำลวดหรือสายเคเบิลหุ้มฉนวน,สุวินทวงศ์ ,,10200000000000,90,10,ฉะเชิงเทรา,22,35/1,1973,2556,ศาลาแดง,3-74(2)-6/56ฉช,บริษัท จรุงไทยไวร์แอนด์เคเบิ้ล จำกัด (มหาชน),9668,บริษัท จรุงไทยไวร์แอนด์เคเบิ้ล จำกัด (มหาชน),3,24000
ผลิตกระแสไฟฟ้าจากก๊าซชีวภาพ,พนมสารคาม,8802,การผลิตพลังงานไฟฟ้าจากพลังงานความร้อน,304,,10200000000000,371.333221,25,ฉะเชิงเทรา,3,150/28,12365.63,2551,ท่าถ่าน,3-88(2)-12/51ฉช,บริษัท เจริญสมพงษ์ จำกัด,9669,บริษัท เจริญสมพงษ์ จำกัด,3,24120
