ไตรมาส 4,ไตรมาส 1,สถานภาพแรงงาน,ภาค,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,รายการ
" 297,473 ","321,149",เรียนหนังสือ,      ภาคใต้                           ,119,2565," 332,239 "," 326,032 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 369,239 ","408,190",เรียนหนังสือ,      ภาคใต้                           ,120,2565," 378,838 "," 398,969 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 755,517 ","725,284",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,      ภาคใต้                           ,121,2565," 767,604 "," 739,997 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 334,565 ","314,745",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,      ภาคใต้                           ,122,2565," 331,346 "," 319,020 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 420,952 ","410,539",ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,      ภาคใต้                           ,123,2565," 436,258 "," 420,977 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
" 178,620 ","186,120",อื่น ๆ,      ภาคใต้                           ,124,2565," 182,969 "," 179,217 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน
" 110,060 ","113,545",อื่น ๆ,      ภาคใต้                           ,125,2565," 118,948 "," 109,739 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
" 68,560 ","72,575",อื่น ๆ,      ภาคใต้                           ,126,2565," 64,021 "," 69,478 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
"40,250,129","39,629,215",ผู้มีงานทำ,  ทั่วราชอาณาจักร                  ,127,2566,"40,091,326","39,677,453",รวม,กำลังแรงงาน
"21,567,943","21,181,857",ผู้มีงานทำ,  ทั่วราชอาณาจักร                  ,128,2566,"21,470,275","21,262,629",ชาย                         ,กำลังแรงงาน
"18,682,186","18,447,358",ผู้มีงานทำ,  ทั่วราชอาณาจักร                  ,129,2566,"18,621,051","18,414,824",หญิง                        ,กำลังแรงงาน
"329,291","421,144",ผู้ว่างงาน,  ทั่วราชอาณาจักร                  ,130,2566,"401,196","429,049",รวม,กำลังแรงงาน
"173,904","227,533",ผู้ว่างงาน,  ทั่วราชอาณาจักร                  ,131,2566,"193,674","205,697",ชาย                         ,กำลังแรงงาน
"155,387","193,610",ผู้ว่างงาน,  ทั่วราชอาณาจักร                  ,132,2566,"207,522","223,352",หญิง                        ,กำลังแรงงาน
"94,491","230,596",รอฤดูกาล,  ทั่วราชอาณาจักร                  ,133,2566,"39,273","195,715",รวม,กำลังแรงงาน
"54,159","132,729",รอฤดูกาล,  ทั่วราชอาณาจักร                  ,134,2566,"26,473","119,028",ชาย                         ,กำลังแรงงาน
"40,332","97,868",รอฤดูกาล,  ทั่วราชอาณาจักร                  ,135,2566,"12,800","76,686",หญิง                        ,กำลังแรงงาน
"5,721,180","5,755,751",ผู้มีงานทำ,  กรุงเทพมหานคร                    ,136,2566,"5,652,257","5,737,524",รวม,กำลังแรงงาน
"2,967,774","2,965,983",ผู้มีงานทำ,  กรุงเทพมหานคร                    ,137,2566,"2,933,595","2,963,282",ชาย                         ,กำลังแรงงาน
"2,753,405","2,789,768",ผู้มีงานทำ,  กรุงเทพมหานคร                    ,138,2566,"2,718,663","2,774,242",หญิง                        ,กำลังแรงงาน
"42,712","62,386",ผู้ว่างงาน,  กรุงเทพมหานคร                    ,139,2566,"56,582","63,839",รวม,กำลังแรงงาน
"26,738","34,248",ผู้ว่างงาน,  กรุงเทพมหานคร                    ,140,2566,"28,987","30,630",ชาย                         ,กำลังแรงงาน
"15,973","28,138",ผู้ว่างงาน,  กรุงเทพมหานคร                    ,141,2566,"27,596","33,209",หญิง                        ,กำลังแรงงาน
751,"1,663",รอฤดูกาล,  กรุงเทพมหานคร                    ,142,2566,780,693,รวม,กำลังแรงงาน
751,"1,663",รอฤดูกาล,  กรุงเทพมหานคร                    ,143,2566,-,693,ชาย                         ,กำลังแรงงาน
-,-,รอฤดูกาล,  กรุงเทพมหานคร                    ,144,2566,780,-,หญิง                        ,กำลังแรงงาน
"13,329,967","13,133,372",ผู้มีงานทำ,     ภาคกลาง                          ,145,2566,"13,208,476","13,183,056",รวม,กำลังแรงงาน
"7,106,364","6,985,165",ผู้มีงานทำ,     ภาคกลาง                          ,146,2566,"7,052,907","7,038,140",ชาย                         ,กำลังแรงงาน
"6,223,603","6,148,207",ผู้มีงานทำ,     ภาคกลาง                          ,147,2566,"6,155,569","6,144,916",หญิง                        ,กำลังแรงงาน
"98,499","156,466",ผู้ว่างงาน,     ภาคกลาง                          ,148,2566,"132,878","145,579",รวม,กำลังแรงงาน
"58,666","84,937",ผู้ว่างงาน,     ภาคกลาง                          ,149,2566,"71,068","82,559",ชาย                         ,กำลังแรงงาน
"39,834","71,529",ผู้ว่างงาน,     ภาคกลาง                          ,150,2566,"61,810","63,019",หญิง                        ,กำลังแรงงาน
"10,784","11,430",รอฤดูกาล,     ภาคกลาง                          ,151,2566,"3,047","17,367",รวม,กำลังแรงงาน
"5,751","8,503",รอฤดูกาล,     ภาคกลาง                          ,152,2566,"1,867","11,616",ชาย                         ,กำลังแรงงาน
"5,033","2,927",รอฤดูกาล,     ภาคกลาง                          ,153,2566,"1,179","5,751",หญิง                        ,กำลังแรงงาน
"6,208,382","6,242,952",ผู้มีงานทำ,     ภาคเหนือ                         ,154,2566,"6,221,813","6,136,049",รวม,กำลังแรงงาน
"3,322,981","3,335,582",ผู้มีงานทำ,     ภาคเหนือ                         ,155,2566,"3,345,202","3,287,142",ชาย                         ,กำลังแรงงาน
"2,885,401","2,907,370",ผู้มีงานทำ,     ภาคเหนือ                         ,156,2566,"2,876,611","2,848,907",หญิง                        ,กำลังแรงงาน
"69,425","63,019",ผู้ว่างงาน,     ภาคเหนือ                         ,157,2566,"64,887","58,940",รวม,กำลังแรงงาน
"36,132","37,751",ผู้ว่างงาน,     ภาคเหนือ                         ,158,2566,"26,791","20,303",ชาย                         ,กำลังแรงงาน
"33,293","25,269",ผู้ว่างงาน,     ภาคเหนือ                         ,159,2566,"38,097","38,638",หญิง                        ,กำลังแรงงาน
