commod,_id,attribute,year_th,unit,table_id,note,value
ลำไย,238,ผลผลิตต่อไร่,2567,กก./ไร่,4.4,p,864
ลำไย,239,ราคาที่เกษตรกรขายได้,2567,บาท/กก.,4.4,,27.94
ลำไย,240,มูลค่าของผลผลิต,2567,ล้านบาท,4.4,,39675
เงาะ,241,เนื้อที่ยืนต้น,2558,พันไร่,4.6,,277
เงาะ,242,เนื้อที่ให้ผล,2558,พันไร่,4.6,,261
เงาะ,243,ผลผลิต,2558,พันตัน,4.6,,285
เงาะ,244,ผลผลิตต่อไร่,2558,กก./ไร่,4.6,,1092
เงาะ,245,ราคาที่เกษตรกรขายได้,2558,บาท/กก.,4.6,,22.07
เงาะ,246,มูลค่าของผลผลิต,2558,ล้านบาท,4.6,,6281
เงาะ,247,เนื้อที่ยืนต้น,2559,พันไร่,4.6,,265
เงาะ,248,เนื้อที่ให้ผล,2559,พันไร่,4.6,,249
เงาะ,249,ผลผลิต,2559,พันตัน,4.6,,191
เงาะ,250,ผลผลิตต่อไร่,2559,กก./ไร่,4.6,,766
เงาะ,251,ราคาที่เกษตรกรขายได้,2559,บาท/กก.,4.6,,34.2
เงาะ,252,มูลค่าของผลผลิต,2559,ล้านบาท,4.6,,6517
เงาะ,253,เนื้อที่ยืนต้น,2560,พันไร่,4.6,,256
เงาะ,254,เนื้อที่ให้ผล,2560,พันไร่,4.6,,243
เงาะ,255,ผลผลิต,2560,พันตัน,4.6,,248
เงาะ,256,ผลผลิตต่อไร่,2560,กก./ไร่,4.6,,1021
เงาะ,257,ราคาที่เกษตรกรขายได้,2560,บาท/กก.,4.6,,25.39
เงาะ,258,มูลค่าของผลผลิต,2560,ล้านบาท,4.6,,6293
เงาะ,259,เนื้อที่ยืนต้น,2561,พันไร่,4.6,,239
เงาะ,260,เนื้อที่ให้ผล,2561,พันไร่,4.6,,224
เงาะ,261,ผลผลิต,2561,พันตัน,4.6,,260
เงาะ,262,ผลผลิตต่อไร่,2561,กก./ไร่,4.6,,1162
เงาะ,263,ราคาที่เกษตรกรขายได้,2561,บาท/กก.,4.6,,23.14
เงาะ,264,มูลค่าของผลผลิต,2561,ล้านบาท,4.6,,6011
เงาะ,265,เนื้อที่ยืนต้น,2562,พันไร่,4.6,,233
เงาะ,266,เนื้อที่ให้ผล,2562,พันไร่,4.6,,214
เงาะ,267,ผลผลิต,2562,พันตัน,4.6,,280
เงาะ,268,ผลผลิตต่อไร่,2562,กก./ไร่,4.6,,1311
เงาะ,269,ราคาที่เกษตรกรขายได้,2562,บาท/กก.,4.6,,25.82
เงาะ,270,มูลค่าของผลผลิต,2562,ล้านบาท,4.6,,7229
เงาะ,271,เนื้อที่ยืนต้น,2563,พันไร่,4.6,,231
เงาะ,272,เนื้อที่ให้ผล,2563,พันไร่,4.6,,211
เงาะ,273,ผลผลิต,2563,พันตัน,4.6,,270
เงาะ,274,ผลผลิตต่อไร่,2563,กก./ไร่,4.6,,1278
เงาะ,275,ราคาที่เกษตรกรขายได้,2563,บาท/กก.,4.6,,23.48
เงาะ,276,มูลค่าของผลผลิต,2563,ล้านบาท,4.6,,6340
เงาะ,277,เนื้อที่ยืนต้น,2564,พันไร่,4.6,,226
เงาะ,278,เนื้อที่ให้ผล,2564,พันไร่,4.6,,208
เงาะ,279,ผลผลิต,2564,พันตัน,4.6,,284
เงาะ,280,ผลผลิตต่อไร่,2564,กก./ไร่,4.6,,1361
เงาะ,281,ราคาที่เกษตรกรขายได้,2564,บาท/กก.,4.6,,19.46
เงาะ,282,มูลค่าของผลผลิต,2564,ล้านบาท,4.6,,5519
เงาะ,283,เนื้อที่ยืนต้น,2565,พันไร่,4.6,,221
เงาะ,284,เนื้อที่ให้ผล,2565,พันไร่,4.6,,207
เงาะ,285,ผลผลิต,2565,พันตัน,4.6,,265
เงาะ,286,ผลผลิตต่อไร่,2565,กก./ไร่,4.6,,1283
เงาะ,287,ราคาที่เกษตรกรขายได้,2565,บาท/กก.,4.6,,23.79
เงาะ,288,มูลค่าของผลผลิต,2565,ล้านบาท,4.6,,6307
เงาะ,289,เนื้อที่ยืนต้น,2566,พันไร่,4.6,,194
เงาะ,290,เนื้อที่ให้ผล,2566,พันไร่,4.6,,183
เงาะ,291,ผลผลิต,2566,พันตัน,4.6,,215
เงาะ,292,ผลผลิตต่อไร่,2566,กก./ไร่,4.6,,1179
เงาะ,293,ราคาที่เกษตรกรขายได้,2566,บาท/กก.,4.6,,32.48
เงาะ,294,มูลค่าของผลผลิต,2566,ล้านบาท,4.6,,6996
เงาะ,295,เนื้อที่ยืนต้น,2567,พันไร่,4.6,p,187
เงาะ,296,เนื้อที่ให้ผล,2567,พันไร่,4.6,p,179
เงาะ,297,ผลผลิต,2567,พันตัน,4.6,p,202
เงาะ,298,ผลผลิตต่อไร่,2567,กก./ไร่,4.6,p,1128
เงาะ,299,ราคาที่เกษตรกรขายได้,2567,บาท/กก.,4.6,,37.97
เงาะ,300,มูลค่าของผลผลิต,2567,ล้านบาท,4.6,,7670
ทุเรียน,301,เนื้อที่ยืนต้น,2558,พันไร่,4.8,,805
ทุเรียน,302,เนื้อที่ให้ผล,2558,พันไร่,4.8,,639
ทุเรียน,303,ผลผลิต,2558,พันตัน,4.8,,637
ทุเรียน,304,ผลผลิตต่อไร่,2558,กก./ไร่,4.8,,997
ทุเรียน,305,ราคาที่เกษตรกรขายได้,2558,บาท/กก.,4.8,,46.96
ทุเรียน,306,มูลค่าของผลผลิต,2558,ล้านบาท,4.8,,29936
ทุเรียน,307,เนื้อที่ยืนต้น,2559,พันไร่,4.8,,883
ทุเรียน,308,เนื้อที่ให้ผล,2559,พันไร่,4.8,,649
ทุเรียน,309,ผลผลิต,2559,พันตัน,4.8,,566
ทุเรียน,310,ผลผลิตต่อไร่,2559,กก./ไร่,4.8,,871
ทุเรียน,311,ราคาที่เกษตรกรขายได้,2559,บาท/กก.,4.8,,62.96
ทุเรียน,312,มูลค่าของผลผลิต,2559,ล้านบาท,4.8,,35604
ทุเรียน,313,เนื้อที่ยืนต้น,2560,พันไร่,4.8,,936
ทุเรียน,314,เนื้อที่ให้ผล,2560,พันไร่,4.8,,664
ทุเรียน,315,ผลผลิต,2560,พันตัน,4.8,,689
ทุเรียน,316,ผลผลิตต่อไร่,2560,กก./ไร่,4.8,,1037
ทุเรียน,317,ราคาที่เกษตรกรขายได้,2560,บาท/กก.,4.8,,71.81
ทุเรียน,318,มูลค่าของผลผลิต,2560,ล้านบาท,4.8,,49502
ทุเรียน,319,เนื้อที่ยืนต้น,2561,พันไร่,4.8,,1014
ทุเรียน,320,เนื้อที่ให้ผล,2561,พันไร่,4.8,,699
ทุเรียน,321,ผลผลิต,2561,พันตัน,4.8,,786
ทุเรียน,322,ผลผลิตต่อไร่,2561,กก./ไร่,4.8,,1124
ทุเรียน,323,ราคาที่เกษตรกรขายได้,2561,บาท/กก.,4.8,,78.16
