﻿year,sex,quarter,_id,region,value,unit,age_group,source
2567,2. หญิง,ไตรมาส 2,138,2) ภาคกลาง,6.1,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,139,2) ภาคกลาง,9.7,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,2. หญิง,ไตรมาส 2,140,2) ภาคกลาง,17.1,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,141,3) ภาคเหนือ,20.6,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,142,3) ภาคเหนือ,21.3,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,143,3) ภาคเหนือ,12.0,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,144,3) ภาคเหนือ,15.3,ร้อยละ,3. 25-29 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,145,3) ภาคเหนือ,16.8,ร้อยละ,4. 30-34 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,146,3) ภาคเหนือ,15.3,ร้อยละ,5. 35-39 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,147,3) ภาคเหนือ,18.3,ร้อยละ,6. 40-49 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,148,3) ภาคเหนือ,22.8,ร้อยละ,7. 50-59 ปี,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 2,149,3) ภาคเหนือ,31.2,ร้อยละ,8. 60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,150,3) ภาคเหนือ,19.4,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,151,3) ภาคเหนือ,18.2,ร้อยละ,1. 15-19 ปี,สำนักงานสถิติแห่งชาติ
2567,1. ชาย,ไตรมาส 2,152,3) ภาคเหนือ,13.1,ร้อยละ,2. 20-24 ปี,สำนักงานสถิติแห่งชาติ
