ที่มา,เลขทะเบียน,_id,ปี,ชื่อโรงงาน,รายการ,ที่อยู่,จังหวัด
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-3/50นม,54,2568,บริษัท เอี่ยมรุ่งเรืองอุตสาหกรรม จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,- ม.1 ซ.- ถ.- ต.หนองหัวแรต อ.หนองบุญมาก จ.นครราชสีมา 30410 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-9(2)-1/41นม,55,2568,บริษัท อุตสาหกรรมแป้งมันราชสีมา จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,108 ม.9 ซ.- ถ.ราชสีมา-เสิงสาง ต.เสิงสาง อ.เสิงสาง จ.นครราชสีมา 30330 โทร.044-457371-3,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-53(1)-14/47นม,56,2568,บริษัท ทรีโอ พลาสติก จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,388 ม.10 ซ.บ้านบึงทับปรางค์ ถ.- ต.โชคชัย อ.โชคชัย จ.นครราชสีมา 30190 โทร.044-202802-3,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-53(9)-5/51นม,57,2568,ห้างหุ้นส่วนจำกัด ลีดเดอร์ อินดัสทรีส์,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,68 ม.8 ซ. ถ.มิตรภาพ ต.สูงเนิน อ.สูงเนิน จ.นครราชสีมา 30170 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-45(1)-1/39นม,58,2568,บริษัท เอช.ที.เอ็ม.นอร์ทอีสต์ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,79 ม.4 ซ. ถ.มิตรภาพ ต.กลางดง อ.ปากช่อง จ.นครราชสีมา 30320 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-58(3)-1/36นม,59,2568,บริษัท หินโบราณ จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,127 ม. 1 ซ. ถ. ต.หมูสี อ.ปากช่อง จ.นครราชสีมา 30130 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-67(2)-3/55นม,60,2568,บริษัท สตาร์ไมโครนิคส์ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,888 ม.6 ซ. ถ. ต.หนองระเวียง อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-69-1/39นม,61,2568,บริษัท ซีเกท เทคโนโลยี่ (ประเทศไทย) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,90 ม.15 ซ. ถ.มิตรภาพ กม.225 ต.สูงเนิน อ.สูงเนิน จ.นครราชสีมา 30170 โทร.044-417100,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-89-4/53นม,62,2568,บริษัท สงวนวงษ์ เอ็นเนอร์ยี จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,ม.4 ซ. ถ.ราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.044-212723-6,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-89-2/47นม,63,2568,บริษัท โคราช ไบโอเอ็นเนอร์ยี จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,120 ม.4 ซ.- ถ.นครราชสีมา-โชคชัย ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-59-17/56นม,64,2568,บริษัท พี.ซี.เอส.แมชีน (ไทยแลนด์) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,2 ม.3 ซ. ถ. ต.โคกกรวด อ.เมืองนครราชสีมา จ.นครราชสีมา 30280 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,3-65-8/58นม,65,2568,บริษัท เอสดับบลิว แอนด์ ซันส์ (ไทยแลนด์) จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,421 ม.2 ซ.- ถ.- ต.ขามทะเลสอ อ.ขามทะเลสอ จ.นครราชสีมา 30280 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-47(3)-1/46นม,66,2568,บริษัท เจ.เอ็ม.ที.ลาบอเรตอรีส จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,200 ม.10 ซ. ถ.มิตรภาพ ต.โตนด อ.โนนสูง จ.นครราชสีมา 30160 โทร.,นครราชสีมา
สำนักงานอุตสาหกรรมจังหวัดนครราชสีมา,จ3-53(5)-1/45นม,67,2568,บริษัท โคราช ที อาร์ ซี พลาสติก จำกัด,โรงงานที่มีน้ำเสียแต่ไม่ระบายทิ้ง,ม. ซ. ถ. ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000 โทร.,นครราชสีมา
