_id,ประเภทรถ,ปี,จำนวน,ชนิดเชื้อเพลิง
145,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2566,"1,264",ดีเซล
146,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2566,19,ดีเซล
147,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2566,820,ดีเซล
148,รย. 4 รถยนต์สามล้อส่วนบุคคล,2566,0,ดีเซล
149,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2566,0,ดีเซล
150,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2566,0,ดีเซล
151,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2566,0,ดีเซล
152,รย. 8 รถยนต์รับจ้างสามล้อ,2566,0,ดีเซล
153,รย. 9 รถยนต์บริการธุรกิจ,2566,0,ดีเซล
154,รย. 10 รถยนต์บริการทัศนาจร,2566,0,ดีเซล
155,รย. 11 รถยนต์บริการให้เช่า,2566,0,ดีเซล
156,รย. 12 รถจักรยานยนต์,2566,0,ดีเซล
157,รย. 13 รถแทร็กเตอร์,2566,552,ดีเซล
158,รย. 14 รถบดถนน,2566,10,ดีเซล
159,รย. 15 รถใช้ในงานเกษตรกรรม,2566,0,ดีเซล
160,รย. 16 รถพ่วง,2566,0,ดีเซล
161,รย. 17 รถจักรยานยนต์สาธารณะ,2566,0,ดีเซล
162,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2566,0,ดีเซล
163,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2566,7,แก๊ส LPG +เบนซิน
164,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2566,0,แก๊ส LPG +เบนซิน
165,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2566,2,แก๊ส LPG +เบนซิน
166,รย. 4 รถยนต์สามล้อส่วนบุคคล,2566,0,แก๊ส LPG +เบนซิน
167,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2566,0,แก๊ส LPG +เบนซิน
168,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2566,0,แก๊ส LPG +เบนซิน
169,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2566,0,แก๊ส LPG +เบนซิน
170,รย. 8 รถยนต์รับจ้างสามล้อ,2566,0,แก๊ส LPG +เบนซิน
171,รย. 9 รถยนต์บริการธุรกิจ,2566,0,แก๊ส LPG +เบนซิน
172,รย. 10 รถยนต์บริการทัศนาจร,2566,0,แก๊ส LPG +เบนซิน
173,รย. 11 รถยนต์บริการให้เช่า,2566,0,แก๊ส LPG +เบนซิน
174,รย. 12 รถจักรยานยนต์,2566,0,แก๊ส LPG +เบนซิน
175,รย. 13 รถแทร็กเตอร์,2566,0,แก๊ส LPG +เบนซิน
176,รย. 14 รถบดถนน,2566,0,แก๊ส LPG +เบนซิน
177,รย. 15 รถใช้ในงานเกษตรกรรม,2566,0,แก๊ส LPG +เบนซิน
178,รย. 16 รถพ่วง,2566,0,แก๊ส LPG +เบนซิน
179,รย. 17 รถจักรยานยนต์สาธารณะ,2566,0,แก๊ส LPG +เบนซิน
180,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2566,0,แก๊ส LPG +เบนซิน
181,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2566,13,ไฟฟ้า
182,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2566,0,ไฟฟ้า
183,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2566,0,ไฟฟ้า
184,รย. 4 รถยนต์สามล้อส่วนบุคคล,2566,0,ไฟฟ้า
185,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2566,0,ไฟฟ้า
186,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2566,0,ไฟฟ้า
187,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2566,0,ไฟฟ้า
188,รย. 8 รถยนต์รับจ้างสามล้อ,2566,0,ไฟฟ้า
189,รย. 9 รถยนต์บริการธุรกิจ,2566,0,ไฟฟ้า
190,รย. 10 รถยนต์บริการทัศนาจร,2566,0,ไฟฟ้า
191,รย. 11 รถยนต์บริการให้เช่า,2566,0,ไฟฟ้า
192,รย. 12 รถจักรยานยนต์,2566,16,ไฟฟ้า
193,รย. 13 รถแทร็กเตอร์,2566,0,ไฟฟ้า
194,รย. 14 รถบดถนน,2566,0,ไฟฟ้า
195,รย. 15 รถใช้ในงานเกษตรกรรม,2566,0,ไฟฟ้า
196,รย. 16 รถพ่วง,2566,0,ไฟฟ้า
197,รย. 17 รถจักรยานยนต์สาธารณะ,2566,0,ไฟฟ้า
198,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2566,0,ไฟฟ้า
