sex,_id,year,value,unit,age_group,source
หญิง (SEX = 2),179,2565,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
รวม,180,2566,1.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),181,2566,0.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),182,2566,1.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
รวม,183,2566,5.5,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),184,2566,4.1,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),185,2566,7.2,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
รวม,186,2566,1.3,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),187,2566,1.3,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),188,2566,1.2,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
รวม,189,2566,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),190,2566,0.4,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),191,2566,0.2,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
รวม,192,2566,0.1,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),193,2566,0.2,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),194,2566,0.1,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
รวม,195,2566,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),196,2566,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),197,2566,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
รวม,198,2567,1.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),199,2567,1.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),200,2567,1.0,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
รวม,201,2567,5.6,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),202,2567,4.6,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),203,2567,6.8,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
รวม,204,2567,1.4,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),205,2567,1.5,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),206,2567,1.3,ร้อยละ,25-34 ปี (AGE = 25-34),สำนักงานสถิติแห่งชาติ
รวม,207,2567,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),208,2567,0.4,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),209,2567,0.3,ร้อยละ,35-54 ปี (AGE = 35-54),สำนักงานสถิติแห่งชาติ
รวม,210,2567,0.1,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),211,2567,0.1,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),212,2567,0.2,ร้อยละ,55-64 ปี (AGE = 55-64),สำนักงานสถิติแห่งชาติ
รวม,213,2567,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),214,2567,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),215,2567,0.1,ร้อยละ,65 ปีขึ้นไป (AGE = 65-120),สำนักงานสถิติแห่งชาติ
รวม,216,2568,0.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
ชาย (SEX = 1),217,2568,0.8,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
หญิง (SEX = 2),218,2568,0.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
รวม,219,2568,5.0,ร้อยละ,15-24 ปี (AGE = 15-24),สำนักงานสถิติแห่งชาติ
