จำนวนโรงงาน,_id,ปี,กลุ่มอุตสาหกรรม,อำเภอ
5,201,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ประจันตคาม
3,202,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ศรีมหาโพธิ
1,203,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ศรีมโหสถ
2,204,2566,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,เมืองปราจีนบุรี
5,205,2566,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,กบินทร์บุรี
0,206,2566,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,นาดี
2,207,2566,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,บ้านสร้าง
0,208,2566,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ประจันตคาม
21,209,2566,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ศรีมหาโพธิ
1,210,2566,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,ศรีมโหสถ
1,211,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,เมืองปราจีนบุรี
0,212,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,กบินทร์บุรี
0,213,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,นาดี
0,214,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,บ้านสร้าง
0,215,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ประจันตคาม
8,216,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ศรีมหาโพธิ
0,217,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,ศรีมโหสถ
2,218,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,เมืองปราจีนบุรี
14,219,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,กบินทร์บุรี
1,220,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,นาดี
0,221,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,บ้านสร้าง
1,222,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ประจันตคาม
21,223,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ศรีมหาโพธิ
2,224,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ศรีมโหสถ
2,225,2566,ผลิตภัณฑ์จากปิโตรเลียม,เมืองปราจีนบุรี
3,226,2566,ผลิตภัณฑ์จากปิโตรเลียม,กบินทร์บุรี
0,227,2566,ผลิตภัณฑ์จากปิโตรเลียม,นาดี
0,228,2566,ผลิตภัณฑ์จากปิโตรเลียม,บ้านสร้าง
0,229,2566,ผลิตภัณฑ์จากปิโตรเลียม,ประจันตคาม
7,230,2566,ผลิตภัณฑ์จากปิโตรเลียม,ศรีมหาโพธิ
0,231,2566,ผลิตภัณฑ์จากปิโตรเลียม,ศรีมโหสถ
1,232,2566,ยางและผลิตภัณฑ์ยาง,เมืองปราจีนบุรี
6,233,2566,ยางและผลิตภัณฑ์ยาง,กบินทร์บุรี
0,234,2566,ยางและผลิตภัณฑ์ยาง,นาดี
0,235,2566,ยางและผลิตภัณฑ์ยาง,บ้านสร้าง
0,236,2566,ยางและผลิตภัณฑ์ยาง,ประจันตคาม
2,237,2566,ยางและผลิตภัณฑ์ยาง,ศรีมหาโพธิ
2,238,2566,ยางและผลิตภัณฑ์ยาง,ศรีมโหสถ
5,239,2566,ผลิตภัณฑ์พลาสติก,เมืองปราจีนบุรี
34,240,2566,ผลิตภัณฑ์พลาสติก,กบินทร์บุรี
4,241,2566,ผลิตภัณฑ์พลาสติก,นาดี
4,242,2566,ผลิตภัณฑ์พลาสติก,บ้านสร้าง
0,243,2566,ผลิตภัณฑ์พลาสติก,ประจันตคาม
31,244,2566,ผลิตภัณฑ์พลาสติก,ศรีมหาโพธิ
0,245,2566,ผลิตภัณฑ์พลาสติก,ศรีมโหสถ
10,246,2566,ผลิตภัณฑ์อโลหะ,เมืองปราจีนบุรี
16,247,2566,ผลิตภัณฑ์อโลหะ,กบินทร์บุรี
1,248,2566,ผลิตภัณฑ์อโลหะ,นาดี
2,249,2566,ผลิตภัณฑ์อโลหะ,บ้านสร้าง
0,250,2566,ผลิตภัณฑ์อโลหะ,ประจันตคาม
17,251,2566,ผลิตภัณฑ์อโลหะ,ศรีมหาโพธิ
1,252,2566,ผลิตภัณฑ์อโลหะ,ศรีมโหสถ
0,253,2566,ผลิตโลหะขั้นมูลฐาน,เมืองปราจีนบุรี
7,254,2566,ผลิตโลหะขั้นมูลฐาน,กบินทร์บุรี
0,255,2566,ผลิตโลหะขั้นมูลฐาน,นาดี
0,256,2566,ผลิตโลหะขั้นมูลฐาน,บ้านสร้าง
0,257,2566,ผลิตโลหะขั้นมูลฐาน,ประจันตคาม
18,258,2566,ผลิตโลหะขั้นมูลฐาน,ศรีมหาโพธิ
0,259,2566,ผลิตโลหะขั้นมูลฐาน,ศรีมโหสถ
4,260,2566,ผลิตภัณฑ์โลหะ,เมืองปราจีนบุรี
15,261,2566,ผลิตภัณฑ์โลหะ,กบินทร์บุรี
0,262,2566,ผลิตภัณฑ์โลหะ,นาดี
2,263,2566,ผลิตภัณฑ์โลหะ,บ้านสร้าง
2,264,2566,ผลิตภัณฑ์โลหะ,ประจันตคาม
24,265,2566,ผลิตภัณฑ์โลหะ,ศรีมหาโพธิ
7,266,2566,ผลิตภัณฑ์โลหะ,ศรีมโหสถ
