ที่มา,ประเภทข้าว,_id,ปี,เก็บเกี่ยว,เพาะปลูก,อำเภอ,หน่วย
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,137,2568,0,0,อำเภอบางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,138,2568,0,0,อำเภอพระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,139,2568,0,0,อำเภอพระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,140,2568,"3,842.00","3,860.00",อำเภอบางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,141,2568,0,0,รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,142,2568,0,0,อำเภอเมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,143,2568,0,0,อำเภอบางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,144,2568,0,0,อำเภอบางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,145,2568,0,0,อำเภอพระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,146,2568,0,0,อำเภอพระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,147,2568,0,0,อำเภอบางเสาธง,ไร่
