ประเภท,เนื้อที่สะสม,ภาค,รายละเอียด,_id,หน่วย,ปีเพาะปลูก,สภาพการเพาะปลูก,หมวดหมู่,จังหวัด,ลักษณะการใช้พื้นที่
นาปรัง,12013,เหนือ,ปลูก,123,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,ปลูก
นาปรัง 2,,เหนือ,ปลูก,124,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,ปลูก
นาปรัง,,เหนือ,เสียหาย,125,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,น้ำท่วม
นาปรัง,,เหนือ,เสียหาย,126,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,น้ำแล้ง
นาปรัง,,เหนือ,เสียหาย,127,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,"โรค,แมลง "
นาปรัง 2,,เหนือ,เสียหาย,128,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,129,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,130,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,"โรค,แมลง "
นาปรัง,12013,เหนือ,เก็บเกี่ยว,131,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,เก็บเกี่ยว
นาปรัง 2,,เหนือ,เก็บเกี่ยว,132,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เพชรบูรณ์,เก็บเกี่ยว
พื้นที่คาดการณ์,13404,เหนือ,พื้นที่คาดการณ์,133,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,เพชรบูรณ์,พื้นที่คาดการณ์
พืชไร่,58891,เหนือ,ปลูก,134,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,เพชรบูรณ์,ปลูก 
พืชผัก,2278,เหนือ,ปลูก,135,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,เพชรบูรณ์,ปลูก 
พื้นที่ชลประทาน,67800,เหนือ,พื้นที่ชลประทาน,136,ไร่,2565/66,พื้นที่ชลประทาน,ข้าวนาปรัง,ตาก,พื้นที่ชลประทาน
พื้นที่คาดการณ์,16792,เหนือ,พื้นที่คาดการณ์,137,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,พื้นที่คาดการณ์
นาปรัง,15125,เหนือ,ปลูก,138,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,ปลูก
นาปรัง 2,,เหนือ,ปลูก,139,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,ปลูก
นาปรัง,,เหนือ,เสียหาย,140,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,น้ำท่วม
นาปรัง,,เหนือ,เสียหาย,141,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,น้ำแล้ง
นาปรัง,,เหนือ,เสียหาย,142,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,"โรค,แมลง "
นาปรัง 2,,เหนือ,เสียหาย,143,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,144,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,145,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,"โรค,แมลง "
นาปรัง,15125,เหนือ,เก็บเกี่ยว,146,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,เก็บเกี่ยว
นาปรัง 2,,เหนือ,เก็บเกี่ยว,147,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,ตาก,เก็บเกี่ยว
พื้นที่คาดการณ์,16000,เหนือ,พื้นที่คาดการณ์,148,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,ตาก,พื้นที่คาดการณ์
พืชไร่,15275,เหนือ,ปลูก,149,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,ตาก,ปลูก 
พืชผัก,,เหนือ,ปลูก,150,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,ตาก,ปลูก 
