﻿year,quarter,industry,_id,region,value,unit,source
2564,ไตรมาสที่ 3,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,129,ภาคกลาง,105.5,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมการบริหารและการบริการสนับสนุน,130,ภาคกลาง,159.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การบริหารราชการ การป้องกันประเทศ การประกันสังคม,131,ภาคกลาง,442.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การศึกษา,132,ภาคกลาง,292.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,133,ภาคกลาง,203.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,ศิลปะ ความบันเทิง และนันทนาการ,134,ภาคกลาง,81.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมบริการด้านอื่น ๆ,135,ภาคกลาง,271.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,136,ภาคกลาง,47.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมขององค์การระหว่างประเทศ,137,ภาคกลาง,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,ไม่ทราบ,138,ภาคกลาง,10.8,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,เกษตรกรรม การป่าไม้ และการประมง,139,ภาคเหนือ,2952.4,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การทำเหมืองแร่ และเหมืองหิน,140,ภาคเหนือ,17.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การผลิต,141,ภาคเหนือ,476.2,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,ไฟฟ้า ก๊าซ ไอน้ำและระบบปรับอากาศ,142,ภาคเหนือ,21.3,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การจัดหาน้ำ การจัดการและการบำบัดน้ำเสียของเสีย และสิ่งปฏิกูล,143,ภาคเหนือ,12.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การก่อสร้าง,144,ภาคเหนือ,361.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การขายส่ง และการขายปลีก การซ่อมยานยนต์,145,ภาคเหนือ,891.9,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,การขนส่ง และสถานที่เก็บสินค้า,146,ภาคเหนือ,95.1,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,ที่พักแรมและบริการด้านอาหาร,147,ภาคเหนือ,314.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,ข้อมูลข่าวสารและการสื่อสาร,148,ภาคเหนือ,15.7,พันคน,สำนักงานสถิติแห่งชาติ
2564,ไตรมาสที่ 3,กิจกรรมทางการเงินและการประกันภัย,149,ภาคเหนือ,55.3,พันคน,สำนักงานสถิติแห่งชาติ
