province,work_status,sex,quarter,_id,year,value,attribute,unit,source
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,หญิง,ไตรมาสที่ 2,125,2567,197504,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,หญิง,ไตรมาสที่ 2,126,2567,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,รวม,ไตรมาสที่ 3,127,2567,5690237,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,รวม,ไตรมาสที่ 3,128,2567,197061,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,รวม,ไตรมาสที่ 3,129,2567,522346,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,รวม,ไตรมาสที่ 3,130,2567,3444874,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,รวม,ไตรมาสที่ 3,131,2567,1260260,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาสที่ 3,132,2567,265697,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,รวม,ไตรมาสที่ 3,133,2567,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,ชาย,ไตรมาสที่ 3,134,2567,2940662,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,ชาย,ไตรมาสที่ 3,135,2567,138359,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,ชาย,ไตรมาสที่ 3,136,2567,264510,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,ชาย,ไตรมาสที่ 3,137,2567,1688908,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,ชาย,ไตรมาสที่ 3,138,2567,750797,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,ชาย,ไตรมาสที่ 3,139,2567,98087,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,ชาย,ไตรมาสที่ 3,140,2567,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,หญิง,ไตรมาสที่ 3,141,2567,2749575,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,หญิง,ไตรมาสที่ 3,142,2567,58702,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,หญิง,ไตรมาสที่ 3,143,2567,257836,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,หญิง,ไตรมาสที่ 3,144,2567,1755966,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,หญิง,ไตรมาสที่ 3,145,2567,509462,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,หญิง,ไตรมาสที่ 3,146,2567,167609,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,หญิง,ไตรมาสที่ 3,147,2567,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,รวม,ไตรมาสที่ 4,148,2567,5719943,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,รวม,ไตรมาสที่ 4,149,2567,207479,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,รวม,ไตรมาสที่ 4,150,2567,498969,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,รวม,ไตรมาสที่ 4,151,2567,3457512,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,รวม,ไตรมาสที่ 4,152,2567,1266329,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาสที่ 4,153,2567,288682,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,รวม,ไตรมาสที่ 4,154,2567,972,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,ชาย,ไตรมาสที่ 4,155,2567,2974688,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,ชาย,ไตรมาสที่ 4,156,2567,154128,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,ชาย,ไตรมาสที่ 4,157,2567,250834,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,ชาย,ไตรมาสที่ 4,158,2567,1717072,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,ชาย,ไตรมาสที่ 4,159,2567,739398,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,ชาย,ไตรมาสที่ 4,160,2567,113255,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,ชาย,ไตรมาสที่ 4,161,2567,0,ศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,หญิง,ไตรมาสที่ 4,162,2567,2745255,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,หญิง,ไตรมาสที่ 4,163,2567,53351,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,หญิง,ไตรมาสที่ 4,164,2567,248135,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,หญิง,ไตรมาสที่ 4,165,2567,1740440,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ทำงานส่วนตัว,หญิง,ไตรมาสที่ 4,166,2567,526931,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ช่วยธุรกิจครัวเรือน,หญิง,ไตรมาสที่ 4,167,2567,175427,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,การรวมกลุ่ม,หญิง,ไตรมาสที่ 4,168,2567,972,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวมยอด,รวม,ไตรมาสที่ 1,169,2568,5741447,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,นายจ้าง,รวม,ไตรมาสที่ 1,170,2568,200969,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างรัฐบาล,รวม,ไตรมาสที่ 1,171,2568,474080,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ลูกจ้างเอกชน,รวม,ไตรมาสที่ 1,172,2568,3414445,,คน,สำนักงานสถิติแห่งชาติ
