﻿year,quarter,_id,area,region,value,unit,source
2560,ไตรมาส 2,195,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,25.4,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 2,196,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,85.35,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 2,197,ในเขตเทศบาล,ภาคใต้,30.8,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 2,198,นอกเขตเทศบาล,ภาคใต้,54.26,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,199,ในเขตเทศบาล,กรุงเทพมหานคร,72.62,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,200,ในเขตเทศบาล,ภาคกลาง,53.2,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,201,นอกเขตเทศบาล,ภาคกลาง,68.07,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,202,ในเขตเทศบาล,ภาคเหนือ,26.8,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,203,นอกเขตเทศบาล,ภาคเหนือ,34.57,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,204,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,27.31,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาส 3,205,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,88.81,พันคน,สำนักงานสถิติแห่งชาติ
