FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
เศรษฐกิจ 1,20740500125403,จ3-26(1)-1/40สค,กระทุ่มแบน,สมุทรสาคร,บริษัท หยกสิน จำกัด,9,2930,บริษัท หยกสิน จำกัด,ผลิตเชือกผูกรองเท้า เชือกไนล่อน เชือกที่ทำจากเส้นด้ายทุกชนิด และย้อมเส้นด้าย,ดำเนินกิจการ,2023-04-18T21:00:05,100.292866666667,26/58,13.6757,วปอ.11 (พิเศษ),สวนหลวง
-,20740200325436,จ3-64(13)-3/43สค,กระทุ่มแบน,สมุทรสาคร,ห้างหุ้นส่วนจำกัด โมรัล เอ็นจิเนียริ่ง,5,2931,ห้างหุ้นส่วนจำกัด โมรัล เอ็นจิเนียริ่ง,กลึงโลหะและผลิตชิ้นส่วนเครื่องเรือนจากโลหะ,ดำเนินกิจการ,2023-04-18T21:00:05,100.3212,98/13,13.6464,-,แคราย
พหลโยธิน,20130500125431,จ3-37-1/43ปท,คลองหลวง,ปทุมธานี,บริษัท มูเทียร่า จำกัด,19,2932,บริษัท มูเทียร่า จำกัด,ผลิตเครื่องเรือนจากไม้ ผ้า และหนัง,ดำเนินกิจการ,2023-04-18T21:00:05,100.59095,60/14-15,14.1107333333333,นวนคร 11,คลองหนึ่ง
รังสิต-นครนายก,20130000525437,จ3-53(1)-5/43ปท,ธัญบุรี,ปทุมธานี,บริษัท แกมม่า อินเตอร์พลาสท์ จำกัด,2,2933,บริษัท แกมม่า อินเตอร์พลาสท์ จำกัด,ผลิตชิ้นส่วนพลาสติกและประกอบเครื่องใช้ เช่น หม้อหุงข้าวไฟฟ้า ร่ม มุ้งครอบ ฯลฯ,ดำเนินกิจการ,2023-04-18T21:00:05,100.772533333333,30/5,14.0386,NULL,ลำผักกูด
พหโยธิน,20191400125434,จ3-70-1/43สบ,หนองแค,สระบุรี,บริษัท เจ แอนด์ เจ แทรคเตอร์ จำกัด,11,2934,บริษัท เจ แอนด์ เจ แทรคเตอร์ จำกัด,ซ่อมแซมรถบรรทุกและรถพ่วง,ดำเนินกิจการ,2023-04-18T21:00:05,100.88852,67/3,14.39686,-,ห้วยขมิ้น
สระบุรี-หล่มสัก,10160000225433,3-4(3)-2/43ลบ,ชัยบาดาล,ลพบุรี,บริษัท สหฟาร์ม จำกัด,8,2935,สหอินเตอร์ฟูดส์,ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น ไก่ย่าง ไก่ทอด ไก่คลุกแป้ง,ดำเนินกิจการ,2023-04-18T21:00:05,101.00375,99/99,15.10718,NULL,ห้วยหิน
NULL,20620100225433,จ3-58(1)-2/43กพ,คลองขลุง,กำแพงเพชร,บริษัท เจริญภัณฑ์ผลิตคอนกรีต จำกัด,4,2936,โรงงานคอนกรีตผสมเสร็จ,ผลิตคอนกรีตผสมเสร็จ,ดำเนินกิจการ,2023-04-18T21:00:05,99.58081,345,16.25361,NULL,คลองสมบูรณ์
NULL,10740400125430,3-59-1/43สค,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท พี.ที.ไวร์ จำกัด,4,2937,บริษัท พี.ที.ไวร์ จำกัด,รีดลวดเหล็ก ชุบสังกะสีและตีเกลียวลวดเหล็ก,ดำเนินกิจการ,2023-04-18T21:00:05,100.231433333333,"103,103/1",13.5225833333333,NULL,บางกระเจ้า
พระรามที่ 2,10740800125444,3-34(1)-1/44สค,เมืองสมุทรสาคร,สมุทรสาคร,นางนภาพร ผลสุขเจริญ,3,2938,NULL,แปรรูปไม้ยางพารา,ดำเนินกิจการ,2023-04-18T21:00:05,100.148766666667,41/8,13.51345,-,บางโทรัด
เพชรเกษม,20732400125435,จ3-61-1/43นฐ,นครชัยศรี,นครปฐม,บริษัท เอ.เค.พลาสติกแมชชินเนอรี่ จำกัด,4,2939,บริษัท เอ.เค.พลาสติกแมชชินเนอรี่ จำกัด,ผลิตเครื่องจักรที่ผลิตเกี่ยวกับพลาสติก เช่น เครื่องเป่าถุงพลาสติก,ดำเนินกิจการ,2023-04-18T21:00:05,100.178883333333,62/2,13.7474833333333,แคแถว,ท่าตำหนัก
