จังหวัด,_id,รอบการจัดเก็บข้อมูล,ชื่อโรงงานน้ำดื่ม,อำเภอ,ตำบล,ปีงบประมาณ
ศรีสะเกษ,184,6 เดือน,น้ำดื่ม ตรา บีบอล,อุทุมพรพิสัย,ก้านเหลือง,2568
ศรีสะเกษ,185,6 เดือน,โรงน้ำดื่ม เมก้าดริ้ง,อุทุมพรพิสัย,หนองไฮ,2568
ศรีสะเกษ,186,6 เดือน,กองทุนหมู่บ้านยางแรด,อุทุมพรพิสัย,หนองไฮ,2568
ศรีสะเกษ,187,6 เดือน,น้ำดื่ม ศรีประดู่,อุทุมพรพิสัย,กำแพง,2568
ศรีสะเกษ,188,6 เดือน,โรงงานน้ำดื่มอุทุมพร,อุทุมพรพิสัย,กำแพง,2568
ศรีสะเกษ,189,6 เดือน,น้ำดื่มนัฐสุมิตร,อุทุมพรพิสัย,กำแพง,2568
ศรีสะเกษ,190,6 เดือน,ฉัตรชัยพานิชย์,อุทุมพรพิสัย,หัวช้าง,2568
ศรีสะเกษ,191,6 เดือน,โรงน้ำดื่มพรสวรรค์,อุทุมพรพิสัย,โพธิ์ชัย,2568
ศรีสะเกษ,192,6 เดือน,น้ำดื่มตราบวรสหกรณ์โรงเรียนบ้านทุ่งไชย,อุทุมพรพิสัย,ทุ่งไชย,2568
ศรีสะเกษ,193,6 เดือน,โรงผลิตน้ำดื่มชุมชน กองทุนหมู่บ้านโนนน้อย หมู่ที่ 9,อุทุมพรพิสัย,โคกหล่าม,2568
ศรีสะเกษ,194,6 เดือน,กองทุนหมู่บ้านโนนน้อย หมู่ที่8,อุทุมพรพิสัย,โคกหล่าม,2568
ศรีสะเกษ,195,6 เดือน,ธนกฤต 393,อุทุมพรพิสัย,โคกหล่าม,2568
ศรีสะเกษ,196,6 เดือน,ฟ้าประทาน,อุทุมพรพิสัย,ขะยูง,2568
ศรีสะเกษ,197,6 เดือน,โรงงานผลิตน้ำดื่มโพธิ์ชัย,อุทุมพรพิสัย,รังแร้ง,2568
ศรีสะเกษ,198,6 เดือน,โรงน้ำดื่มตราดับเบิ้ลดี,อุทุมพรพิสัย,รังแร้ง,2568
ศรีสะเกษ,199,6 เดือน,บริษัท เนเจอร์ พลัส วอเตอร์ จำกัด,อุทุมพรพิสัย,รังแร้ง,2568
ศรีสะเกษ,200,6 เดือน,โรงน้ำดื่ม รื่นรมย์,อุทุมพรพิสัย,สระกำแพงใหญ่,2568
ศรีสะเกษ,201,6 เดือน,โรงน้ำดื่มชุมชนกองทุนบ้านกำแพง หมู่ 12,อุทุมพรพิสัย,สระกำแพงใหญ่,2568
ศรีสะเกษ,202,6 เดือน,โรงน้ำดื่มชุมชนกองทุนบ้านหนองโน หมู่ที่ 9,อุทุมพรพิสัย,สระกำแพงใหญ่,2568
ศรีสะเกษ,203,6 เดือน,โรงงานน้ำดื่ม กัลยกร,อุทุมพรพิสัย,อี่หล่ำ,2568
ศรีสะเกษ,204,6 เดือน,น้ำดื่ม ม.10,อุทุมพรพิสัย,โคกจาน,2568
ศรีสะเกษ,205,6 เดือน,วันชัยน้ำดื่ม,อุทุมพรพิสัย,โคกจาน,2568
ศรีสะเกษ,206,6 เดือน,โรงน้ำดื่ม ไอ-แคร์,บึงบูรพ์,เป๊าะ,2568
ศรีสะเกษ,207,6 เดือน,โรงงานน้ำดื่มกชกร,บึงบูรพ์,เป๊าะ,2568
ศรีสะเกษ,208,6 เดือน,สตาร์วอร์เตอร์,บึงบูรพ์,เป๊าะ,2568
ศรีสะเกษ,209,6 เดือน,โรงน้ำดื่มโนร่า,บึงบูรพ์,เป๊าะ,2568
ศรีสะเกษ,210,6 เดือน,บึงบูรพ์วอร์เตอร์,บึงบูรพ์,เป๊าะ,2568
ศรีสะเกษ,211,6 เดือน,น้ำดื่มกองทุนบ้านม่วง,บึงบูรพ์,เป๊าะ,2568
ศรีสะเกษ,212,6 เดือน,คู่ฟ้า,บึงบูรพ์,บึงบูรพ์,2568
ศรีสะเกษ,213,6 เดือน,พานทองน้ำทิพย์,ห้วยทับทัน,ปราสาท,2568
ศรีสะเกษ,214,6 เดือน,ร้านสุชีพ,ห้วยทับทัน,เมืองหลวง,2568
ศรีสะเกษ,215,6 เดือน,บ้านน้ำดื่มสมาร์ท,ห้วยทับทัน,เมืองหลวง,2568
ศรีสะเกษ,216,6 เดือน,โรงน้ำดื่มวรรณภา วอเตอร์,ห้วยทับทัน,จานแสนไชย,2568
ศรีสะเกษ,217,6 เดือน,3อ. วอเตอร์,ห้วยทับทัน,ผักไหม,2568
ศรีสะเกษ,218,6 เดือน,อุดมพรน้ำดื่ม,ห้วยทับทัน,กล้วยกว้าง,2568
ศรีสะเกษ,219,6 เดือน,ปลื้มใจน้ำดื่ม,โนนคูณ,โพธิ์,2568
ศรีสะเกษ,220,6 เดือน,ไอเพียวลี่  ดริ้งกิ้ง,โนนคูณ,โนนค้อ,2568
ศรีสะเกษ,221,6 เดือน,น้ำดื่มธนภัทร,โนนคูณ,หนองกุง,2568
