_id,ปี,จำนวนโรงงาน,ประเภทอุตสาหกรรม
138,2568,4,อุตสาหกรรมปิโตรเคมีและผลิตภัณฑ์
139,2568,1,อุตสาหกรรมยาง
140,2568,2,อุตสาหกรรมพลาสติก
141,2568,13,อุตสาหกรรมอโลหะ
142,2568,1,อุตสาหกรรมโลหะ
143,2568,1,อุตสาหกรรมผลิตภัณฑ์โลหะ
144,2568,2,อุตสาหกรรมเครื่องจักรกล
145,2568,0,อุตสาหกรรมไฟฟ้า
146,2568,6,อุตสาหกรรมขนส่ง
147,2568,13,อุตสาหกรรมอื่นๆ 
