2565.0,2568.0,2567.0,2560.0,_id,2557.0,2566.0,2559.0,2561.0,2563.0,2558.0,ตำบล,อำเภอ,รายการ,หน่วยวัด,จังหวัด,2564.0,2562.0
,,,,228,,,,,,,ต.หมูสี,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,229,1,1,1,1,1,1,ต.หนองสาหร่าย,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,230,,,,,,,ต.ขนงพระ,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,231,,,,,,,ต.โป่งตาลอง,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,232,,1,,1,1,,ต.คลองม่วง,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,233,,,,,,,ต.หนองน้ำแดง,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,234,,,,,,,ต.วังไทร,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,235,,,,,,,ต.พญาเย็น,อ.ปากช่อง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,1,1,,236,,1,,,,,ต.หนองบุนนาก,อ.หนองบุญมาก,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,237,,,,,,,ต.สารภี,อ.หนองบุญมาก,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,238,,,,,,,ต.ไทยเจริญ,อ.หนองบุญมาก,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
4,4,4,1,239,1,4,1,1,2,1,ต.หนองหัวแรต,อ.หนองบุญมาก,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,3,2
1,1,1,,240,,1,,1,1,,ต.แหลมทอง,อ.หนองบุญมาก,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,241,,,,,,,ต.หนองตะไก้,อ.หนองบุญมาก,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,242,,,,,,,ต.ลุงเขว้า,อ.หนองบุญมาก,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,243,,,,,,,ต.หนองไม้ไผ่,อ.หนองบุญมาก,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,244,,,,,,,ต.บ้านใหม่,อ.หนองบุญมาก,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,245,1,1,1,1,1,1,ต.แก้งสนามนาง,อ.แก้งสนามนาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,246,,,,,,,ต.โนนสำราญ,อ.แก้งสนามนาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,247,,,,,,,ต.บึงพะไล,อ.แก้งสนามนาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,248,,,,,,,ต.สีสุก,อ.แก้งสนามนาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,249,,,,,,,ต.บึงสำโรง,อ.แก้งสนามนาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,250,,,,,,,ต.โนนแดง,อ.โนนแดง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,251,,,,,,,ต.โนนตาเถร,อ.โนนแดง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,252,,,,,,,ต.สำพะเนียง,อ.โนนแดง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,253,,,,,,,ต.วังหิน,อ.โนนแดง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,254,,,,,,,ต.ดอนยาวใหญ่,อ.โนนแดง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,255,,,,,,,ต.วังน้ำเขียว,อ.วังน้ำเขียว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,256,,,,,,,ต.วังหมี,อ.วังน้ำเขียว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,257,,,,,,,ต.ระเริง,อ.วังน้ำเขียว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,258,,,,,,,ต.อุดมทรัพย์,อ.วังน้ำเขียว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,259,,,,,,,ต.ไทยสามัคคี,อ.วังน้ำเขียว,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,260,,,,,,,ต.สำนักตะคร้อ,อ.เทพารักษ์,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,261,,1,,1,1,,ต.หนองแวง,อ.เทพารักษ์,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,262,,,,,,,ต.บึงปรือ,อ.เทพารักษ์,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
2,2,2,2,263,,2,,2,2,,ต.วังยายทอง,อ.เทพารักษ์,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,2
,,,,264,,,,,,,ต.เมืองยาง,อ.เมืองยาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,265,,,,,,,ต.กระเบื้องนอก,อ.เมืองยาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,266,,,,,,,ต.ละหานปลาค้าว,อ.เมืองยาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,267,,,,,,,ต.โนนอุดม,อ.เมืองยาง,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,268,,,,,,,ต.สระพระ,อ.พระทองคำ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,269,,,,,,,ต.มาบกราด,อ.พระทองคำ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,270,,,,,,,ต.พังเทียม,อ.พระทองคำ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,271,,,,,,,ต.ทัพรั้ง,อ.พระทองคำ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,272,,,,,,,ต.หนองหอย,อ.พระทองคำ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,273,,,,,,,ต.ขุย,อ.ลำทะเมนชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,274,,,,,,,ต.บ้านยาง,อ.ลำทะเมนชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,275,,,,,,,ต.ช่องแมว,อ.ลำทะเมนชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,276,,,,,,,ต.ไพล,อ.ลำทะเมนชัย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,277,,,,,,,ต.เมืองพะไล,อ.บัวลาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,278,,,,,,,ต.โนนจาน,อ.บัวลาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,279,,,,,,,ต.บัวลาย,อ.บัวลาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,280,,,,,,,ต.หนองหว้า,อ.บัวลาย,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,281,,,,,,,ต.สีดา,อ.สีดา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,282,,,,,,,ต.โพนทอง,อ.สีดา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,283,,,,,,,ต.โนนประดู่,อ.สีดา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
2,2,2,1,284,1,2,1,1,2,1,ต.สามเมือง,อ.สีดา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,1
,,,,285,,,,,,,ต.หนองตาดใหญ่,อ.สีดา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,286,,,,,,,ต.ช้างทอง,อ.เฉลิมพระเกียรติ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,287,,,,,,,ต.ท่าช้าง,อ.เฉลิมพระเกียรติ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,288,,,,,,,ต.พระพุทธ,อ.เฉลิมพระเกียรติ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,,289,,1,,,1,,ต.หนองงูเหลือม,อ.เฉลิมพระเกียรติ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,
,,,,290,,,,,,,ต.หนองยาง,อ.เฉลิมพระเกียรติ,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,100,,,291,,,,,,,,,,,,,
