FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
-,20570000325439,จ3-12(1)-3/43ชร,แม่ฟ้าหลวง,เชียงราย,นางสาวนัฏนันท์ ภูมินันท์โภคิน,11,560,โรงงานใบชาชาวไทยภูเขา,ทำใบชาแห้งและใบชาผง,ดำเนินกิจการ,2023-04-18T21:00:05,99.60374,186,20.32189,บ้านพญาไพรลิทู,เทอดไทย
โชตนา,20500100225437,จ3-14-2/43ชม,ไชยปราการ,เชียงใหม่,นางภัทรา โตไพบูลย์,6,561,โรงน้ำแข็งไชยปราการ,ทำน้ำแข็งหลอดและน้ำแข็งซอง,ดำเนินกิจการ,2023-04-18T21:00:05,99.15259,214,19.76135,-,ปงตำ
NULL,20500500225433,จ3-95(1)-2/43ชม,เมืองเชียงใหม่,เชียงใหม่,บริษัท วี เอ็น ออโต้ บอดี้ จำกัด,6,562,บริษัท วี เอ็น ออโต้ บอดี้ จำกัด,ซ่อมเคาะพ่นสีรถยนต์,ดำเนินกิจการ,2023-04-18T21:00:05,98.96876,178,18.75673,NULL,แม่เหียะ
NULL,20500500125435,จ3-58(1)-1/43ชม,ฮอด,เชียงใหม่,ห้างหุ้นส่วนจำกัด ทวิภัณฑ์ฮอดคอนกรีต,2,563,"โรงงานคอนกรีตผสมเสร็จ ""ฮอด""",ผลิตคอนกรีตผสมเสร็จ,ดำเนินกิจการ,2023-04-18T21:00:05,98.61651,255,18.19136,NULL,หางดง
NULL,20530000225435,จ3-3(4)-2/43อต,ตรอน,อุตรดิตถ์,นายธนกฤต ย้ายตั้ง,5,564,ท่าทรายสิทธิพร,ดูดทราย,ดำเนินกิจการ,2023-04-18T21:00:05,100.11413,NULL,17.46995,NULL,วังแดง
เชียงใหม่-ลำปาง,20501000125396,จ3-92-1/39ชม,สารภี,เชียงใหม่,บริษัท พิสิทธิชัยอินเตอร์เนชั่นแนล จำกัด,8,565,บริษัท พิสิทธิชัยอินเตอร์เนชั่นแนล จำกัด,ห้องเย็น,ดำเนินกิจการ,2023-04-18T21:00:05,99.05272,170,18.68062,บ้านสันกับตองเหนือ,สารภี
พะเยา-เชียงคำ,10560000125436,3-50(4)-1/43พย,จุน,พะเยา,ห้างหุ้นส่วนจำกัด รัตนานุพัชร,1,566,ห้างหุ้นส่วนจำกัด รัตนานุพัชร,ผลิตแอสฟัลติกคอนกรีต,ดำเนินกิจการ,2023-04-18T21:00:05,100.13719,126,19.35031,NULL,ห้วยข้าวก่ำ
-,20540000225392,จ3-58(1)-2/39พร,สูงเม่น,แพร่,บริษัท ธนาวัฒน์คอนกรีต จำกัด,3,567,บริษัท ธนาวัฒน์คอนกรีต จำกัด,ทำผลิตภัณฑ์คอนกรีต เช่น แผ่นพื้นสำเร็จรูป ท่อ คอนกรีตบล๊อค วงส้วม ฯลฯ,ดำเนินกิจการ,2023-04-18T21:00:05,100.12743,156,18.08096,-,ร่องกาศ
NULL,20500400225434,จ3-64(13)-2/43ชม,ฝาง,เชียงใหม่,นายสมภพ รัตนพันธ์,3,568,นายสมภพ รัตนพันธ์,"กลึง,เจาะ,คว้าน,ไส หรือเชื่อมโลหะ",ดำเนินกิจการ,2023-04-18T21:00:05,99.19856,151/2,19.89324,NULL,สันทราย
เชียงใหม่-ฮอด,20500300125429,จ3-14-1/42ชม,สันป่าตอง,เชียงใหม่,ห้างหุ้นส่วนจำกัด สุขเสรี เอส ไอ ซี,9,569,โรงน้ำแข็งสันป่าตอง,ผลิตน้ำแข็งก้อนเล็ก (30 ตัน/วัน) และผลิตน้ำแข็งซอง (400 ซอง/วัน),ดำเนินกิจการ,2023-04-18T21:00:05,98.88922,320,18.60058,NULL,ยุหว่า
โชตนา,20500002325392,จ3-95(1)-23/39ชม,เมืองเชียงใหม่,เชียงใหม่,บริษัท นิธิบูรณ์ไครสเลอร์ ออโตโมทิฟ จำกัด,NULL,570,บริษัท นิธิบูรณ์ ออโต้เซลล์ จำกัด,ซ่อมรถยนต์ เคาะพ่นสีรถยนต์,ดำเนินกิจการ,2023-04-18T21:00:05,98.975652,122/18,18.836348,NULL,ช้างเผือก
พิศาล,20570300125448,จ3-37-1/44ชร,เทิง,เชียงราย,กรมราชทัณฑ์,10,571,โรงงานฝึกวิชาชีพเรือนจำอำเภอเมือง,แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม ทำเครื่องเรือนเครื่องใช้ภายในบ้าน,ดำเนินกิจการ,2023-04-18T21:00:05,100.21917,234,19.68114,NULL,เวียง
NULL,20540000325424,จ3-34(2)-3/42พร,สูงเม่น,แพร่,นายกุลธวัช พรมเสนา,6,572,NULL,ทำเครื่องเรือนเครื่องใช้ในครัวเรือนหรือเครื่องตบแต่งภายในอาคาร(โต๊ะ เตียง เก้าอี้ ตู้) ทำเครื่องประกอบอาคารบ้านเรือน(ไม้พื้นเซาะร่อง ปาร์เกต์ โมเสด เสากลึง ลูกก,ดำเนินกิจการ,2023-04-18T21:00:05,100.11822,60/9,18.112,NULL,เวียงทอง
แม่ฮ่องสอน-ปาย,20580000125440,จ3-37-1/44มส,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,ห้างหุ้นส่วนจำกัด วนาการ,1,573,ห้างหุ้นส่วนจำกัด วนาการ,ทำเครื่องเรือนจากไม้,หยุดชั่วคราว,2023-04-18T21:00:05,97.9617,NULL,19.34964,NULL,ปางหมู
NULL,20530100125428,จ3-42(1)-1/42อต,ทองแสนขัน,อุตรดิตถ์,ห้างหุ้นส่วนจำกัด ปกรณ์อุตสาหกรรม,11,574,ห้างหุ้นส่วนจำกัด ปกรณ์อุตสาหกรรม,ผลิตผงแคลเซียมคาร์บอเนตสำหรับเป็นส่วนผสมของอาหารสัตว์,ดำเนินกิจการ,2023-04-18T21:00:05,100.34029,25,17.48409,NULL,บ่อทอง
เชียงใหม่-ฮอด,20501200125436,จ3-92-1/43ชม,สันป่าตอง,เชียงใหม่,บริษัท เอี่ยมกสิกิจ จำกัด,2,575,บริษัท เอี่ยมกสิกิจ จำกัด,ห้องเย็น เก็บพืชผลทางการเกษตร และอื่น ๆ,ดำเนินกิจการ,2023-04-18T21:00:05,98.88273,21/7,18.58114,NULL,บ้านกลาง
พาน-ป่าแดด(1126),20570000225423,จ3-9(1)-2/42ชร,พาน,เชียงราย,บริษัท ข้าวทองธวัช จำกัด,4,576,บริษัท ข้าวทองธวัช จำกัด,สีข้าว,ดำเนินกิจการ,2023-04-18T21:00:05,99.77125,149,19.56754,-,สันติสุข
NULL,20570800125443,จ3-92-1/44ชร,เชียงแสน,เชียงราย,ห้างหุ้นส่วนจำกัด นพโรจน์,9,577,ห้างหุ้นส่วนจำกัด นพโรจน์,ห้องเย็น,ดำเนินกิจการ,2023-04-18T21:00:05,100.09285,188,20.26189,NULL,เวียง
-,20520100125437,จ3-70-1/43ลป,เกาะคา,ลำปาง,บริษัท ทิด้า คลิน แอนด์ เฟอร์เนส จำกัด,6,578,บริษัท ทิด้า คลิน แอนด์ เฟอร์เนส จำกัด,ผลิตเตาเผาเซรามิคส์,ดำเนินกิจการ,2023-04-18T21:00:05,99.38953,55/1,18.14356,-,วังพร้าว
