จำนวน,_id,ปี,ระดับการศึกษา,เพศ,ไตรมาส,หน่วย
36750,161,2564,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 3,คน
6612,162,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
,163,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
32568,164,2564,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 3,คน
8105,165,2564,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 3,คน
4468,166,2564,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 3,คน
-,167,2564,อื่น ๆ,       หญิง                        , ไตรมาสที่ 3,คน
,168,2564,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 3,คน
1676,169,2564,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
24427,170,2564,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
64198,171,2564,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
79129,172,2564,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 4,คน
49732,173,2564,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 4,คน
10597,174,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
,175,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
24001,176,2564,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 4,คน
11928,177,2564,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 4,คน
1284,178,2564,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 4,คน
-,179,2564,อื่น ๆ,       ชาย                         , ไตรมาสที่ 4,คน
577,180,2564,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 4,คน
2075,181,2564,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
18363,182,2564,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
47777,183,2564,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
50249,184,2564,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 4,คน
35282,185,2564,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 4,คน
5426,186,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
,187,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
27750,188,2564,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 4,คน
4012,189,2564,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 4,คน
3384,190,2564,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 4,คน
-,191,2564,อื่น ๆ,       หญิง                        , ไตรมาสที่ 4,คน
,192,2564,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 4,คน
1896,193,2565,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
22866,194,2565,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
55772,195,2565,ประถมศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
82261,196,2565,มัธยมศึกษาตอนต้น,       ชาย                         , ไตรมาสที่ 1 ,คน
51110,197,2565,มัธยมศึกษาตอนปลาย สายสามัญ,       ชาย                         , ไตรมาสที่ 1 ,คน
13856,198,2565,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
,199,2565,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
31313,200,2565,อุดมศึกษาสายวิชาการ,       ชาย                         , ไตรมาสที่ 1 ,คน
17311,201,2565,อุดมศึกษาสายวิชาชีพ,       ชาย                         , ไตรมาสที่ 1 ,คน
2037,202,2565,อุดมศึกษาสายวิชาการศึกษา,       ชาย                         , ไตรมาสที่ 1 ,คน
-,203,2565,อื่น ๆ,       ชาย                         , ไตรมาสที่ 1 ,คน
1125,204,2565,ไม่ทราบ,       ชาย                         , ไตรมาสที่ 1 ,คน
900,205,2565,ไม่มีการศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
20286,206,2565,ต่ำกว่าประถมศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
41141,207,2565,ประถมศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
60874,208,2565,มัธยมศึกษาตอนต้น,       หญิง                        , ไตรมาสที่ 1 ,คน
48886,209,2565,มัธยมศึกษาตอนปลาย สายสามัญ,       หญิง                        , ไตรมาสที่ 1 ,คน
11699,210,2565,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
,211,2565,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
35908,212,2565,อุดมศึกษาสายวิชาการ,       หญิง                        , ไตรมาสที่ 1 ,คน
13122,213,2565,อุดมศึกษาสายวิชาชีพ,       หญิง                        , ไตรมาสที่ 1 ,คน
3403,214,2565,อุดมศึกษาสายวิชาการศึกษา,       หญิง                        , ไตรมาสที่ 1 ,คน
-,215,2565,อื่น ๆ,       หญิง                        , ไตรมาสที่ 1 ,คน
843,216,2565,ไม่ทราบ,       หญิง                        , ไตรมาสที่ 1 ,คน
1002,217,2565,ไม่มีการศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
17482,218,2565,ต่ำกว่าประถมศึกษา,       ชาย                         , ไตรมาสที่ 2,คน
