พื้นที่เก็บเกี่ยว,ราคาหน้าฟาร์ม,หน่วย(บาท_ตัน),ครัวเรือนเกษตรกร,หน่วย(บาท),ปริมาณผลผลิต,_id,ปี,หน่วย(ไร่),หน่วย(ตัน),อำเภอ,มูลค่า,พืชเศรษฐกิจ,หน่วย(ครัวเรือน)
0,0,บาท_ตัน,0,ล้านบาท,0,123,2567,ไร่,ตัน,พุทธมณฑล,0,คะน้า,ครัวเรือน
439,49169,บาท_ตัน,31,ล้านบาท,1227,124,2567,ไร่,ตัน,พุทธมณฑล,60.33,กล้วยไม้ตัดดอก,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,125,2567,ไร่,ตัน,พุทธมณฑล,0,ขมิ้นชัน,ครัวเรือน
0,0,บาท_ตัน,0,ล้านบาท,0,126,2567,ไร่,ตัน,พุทธมณฑล,0,บัวบก,ครัวเรือน
9967,7210,บาท_ตัน,670,ล้านบาท,7455,127,2566,ไร่,ตัน,เมืองนครปฐม,53.75,ข้าว,ครัวเรือน
13060,1160,บาท_ตัน,341,ล้านบาท,179751,128,2566,ไร่,ตัน,เมืองนครปฐม,208.51,อ้อยโรงงาน,ครัวเรือน
44.25,59510,บาท_ตัน,19,ล้านบาท,45,129,2566,ไร่,ตัน,เมืองนครปฐม,2.68,ส้มโอ,ครัวเรือน
751.25,20700,บาท_ตัน,201,ล้านบาท,3154,130,2566,ไร่,ตัน,เมืองนครปฐม,65.29,ฝรั่ง,ครัวเรือน
1593,10000,บาท_ตัน,259,ล้านบาท,8716,131,2566,ไร่,ตัน,เมืองนครปฐม,87.16,มะพร้าวอ่อน,ครัวเรือน
1732,17830,บาท_ตัน,170,ล้านบาท,3343,132,2566,ไร่,ตัน,เมืองนครปฐม,59.61,คะน้า,ครัวเรือน
653,48870,บาท_ตัน,52,ล้านบาท,1294,133,2566,ไร่,ตัน,เมืองนครปฐม,63.24,กล้วยไม้ตัดดอก,ครัวเรือน
108,39470,บาท_ตัน,28,ล้านบาท,57,134,2566,ไร่,ตัน,เมืองนครปฐม,2.25,ขมิ้นชัน,ครัวเรือน
