VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
6223.6,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,154,หญิง,พันคน,ภาคกลาง,2566
3322.98,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,155,ชาย,พันคน,ภาคเหนือ,2566
2885.4,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,156,หญิง,พันคน,ภาคเหนือ,2566
5212.04,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,157,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
4433.96,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,158,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
2958.78,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,159,ชาย,พันคน,ภาคใต้,2566
2385.82,ไตรมาสที่ 4,สำนักงานสถิติแห่งชาติ,160,หญิง,พันคน,ภาคใต้,2566
3017.3,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,161,ชาย,พันคน,กรุงเทพมหานคร,2567
2758.2,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,162,หญิง,พันคน,กรุงเทพมหานคร,2567
7140.65,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,163,ชาย,พันคน,ภาคกลาง,2567
6217.46,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,164,หญิง,พันคน,ภาคกลาง,2567
3347.22,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,165,ชาย,พันคน,ภาคเหนือ,2567
2828.97,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,166,หญิง,พันคน,ภาคเหนือ,2567
4957.57,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,167,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
3975.88,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,168,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
2923.49,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,169,ชาย,พันคน,ภาคใต้,2567
2412.27,ไตรมาสที่ 1,สำนักงานสถิติแห่งชาติ,170,หญิง,พันคน,ภาคใต้,2567
2998.63,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,171,ชาย,พันคน,กรุงเทพมหานคร,2567
2762.77,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,172,หญิง,พันคน,กรุงเทพมหานคร,2567
7135.98,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,173,ชาย,พันคน,ภาคกลาง,2567
6242.5,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,174,หญิง,พันคน,ภาคกลาง,2567
3236.25,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,175,ชาย,พันคน,ภาคเหนือ,2567
2766.7,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,176,หญิง,พันคน,ภาคเหนือ,2567
4988.35,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,177,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
4063.58,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,178,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
2943.57,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,179,ชาย,พันคน,ภาคใต้,2567
2362.41,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,180,หญิง,พันคน,ภาคใต้,2567
2940.66,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,181,ชาย,พันคน,กรุงเทพมหานคร,2567
2749.58,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,182,หญิง,พันคน,กรุงเทพมหานคร,2567
7100.29,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,183,ชาย,พันคน,ภาคกลาง,2567
6259.98,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,184,หญิง,พันคน,ภาคกลาง,2567
3305.91,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,185,ชาย,พันคน,ภาคเหนือ,2567
2801.9,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,186,หญิง,พันคน,ภาคเหนือ,2567
5141.82,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,187,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
4424.12,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,188,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
2946.42,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,189,ชาย,พันคน,ภาคใต้,2567
2368.87,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,190,หญิง,พันคน,ภาคใต้,2567
