_id,เลขทะเบียนเดิม,น้ำที่ได้รับการบำบัด,ผู้ประกอบการ,หน่วย
233,จ3-58(1)-120/56พล,2.3,บริษัท ปธังกรณ์คอนกรีต จำกัด,ลบ.ม.
234,จ3-58(1)-122/60พล,3.7,ห้างหุ้นส่วนจำกัด อุ้ยเซ็งผลิตภัณฑ์คอนกรีต,ลบ.ม.
235,จ3-58(1)-133/53พล,2.8,บริษัท ซี.พี.ซี คอนกรีตอัดแรง จำกัด,ลบ.ม.
236,จ3-58(1)-133/61พล,9.0,บริษัท ท๊อปแลนด์ คอนกรีต จำกัด,ลบ.ม.
237,จ3-58(1)-145/53พล,2.8,บริษัท ซี.พี.ซี. คอนกรีตอัดแรง จำกัด,ลบ.ม.
238,จ3-58(1)-159/60พล,3.3,นายวิทยา เสนานุช,ลบ.ม.
239,จ3-58(1)-181/62พล,3.5,บริษัท เพาเวอร์แพค คอนกรีต จำกัด,ลบ.ม.
240,จ3-58(1)-184/60พล,6.4,ห้างหุ้นส่วนจำกัด ชัยประเสริฐคอนกรีตอัดแรง,ลบ.ม.
241,จ3-58(1)-188/55พล,3.4,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,ลบ.ม.
242,จ3-58(1)-192/63พล,3.5,บริษัท เพาเวอร์แพค เทคคอน จำกัด,ลบ.ม.
243,จ3-58(1)-196/60พล,2.7,นายมานะ ภูมิผล,ลบ.ม.
244,จ3-58(1)-2/22พล,16.0,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,ลบ.ม.
245,จ3-58(1)-2/44พล,6.1,บริษัท รุ่งวิชัยคอนกรีต จำกัด,ลบ.ม.
246,จ3-58(1)-2/51พล,3.4,ห้างหุ้นส่วนจำกัด ณัฐชูพงศ์คอนกรีต,ลบ.ม.
